Source,Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category / Type,Event 1,Event 2,Event 3,Event 4,Event 5,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Keyword 6,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Open,Sunday Open,Sunday Close,Parking,Restroom,Change table,Stroller trail,Playground,Enclosed playground,Material of playground floor,Water play,Age range of playground,Picnic,BBQ,Images
SF Kids,Yerba Buena Gardens,750 Howard Street,San Francisco,CA,94103,(415) 820-3550,yerbabuenagardens.com,"The history of Yerba Buena Gardens is one of transformation. The downtown San Francisco site once was part of a challenged neighborhood. Today, it is part of an 87-acre urban redevelopment project and is recognized as one of the top 30 urban parks in the nation with a mixture of housing, open space, cultural facilities, children’s facilities, a convention center, and commercial development. The work of the San Francisco Redevelopment Agency and the community transformed the area and this one-of-a-kind destination is now considered a model for how to improve public space and urban areas.",N,Park,,,,,,0 and up,Children’s Creativity Museum,Contemporary Jewish Museum,SFMOMA Store,Metreon Shopping,,6,22,6,22,6,22,6,22,6,22,6,22,6,22,N,Y,,N,N,,,,,,,
SF Kids,Tilden Park,2501 Grizzly Peak Blvd,Orinda,CA,94563,(510) 544-2747,http://www.ebparks.org/parks/tilden,"One of the District's three oldest parks, Tilden has been called the jewel of the system, and its recreational activities have become a happy tradition for generations of East Bay youngsters. From a carousel ride and a picnic to a swim at Lake Anza and a stroll through the Botanic Garden, Tilden has variety to delight everyone. Yet there are plenty of quiet places in Tilden's 2,079 acres to shelter the wildlife and preserve natural beauty. Tilden was named for Charles Lee Tilden, first president of the Park District Board of Directors. The park is reached via Canon Drive, Shasta Road, or South Park Drive, all off Grizzly Peak Boulevard in Berkeley.",N,Park,Botanic Gardens,Little Farm,,,,0 and up,Merry go round,Steam train,Lake Anza,Golf,Inspiration Point,5,22,5,22,5,22,5,22,5,22,5,22,5,22,Y,Y,,Y,N,,,,,,,
SF Kids,Presidio National Park,,,CA,,,http://www.presidio.gov/,"The Presidio is an oasis of nature where wild open spaces and places shaped by people welcome the community to explore, play, _learn, volunteer, and find refuge. In an afternoon hike one can experience the native plant communities of pre-urban San Francisco as well as the grandeur of cypress groves planted by the Army to break the powerful ocean winds. This exceptional diversity is what attracts visitors - from hikers to migratory birds - to the park.",N,Park,Golf,,,,,0 and up,Spire,Julius Kahn Playground,Picnic,hiking,Julius Kahn Park,,,,,,,,,,,,,,,Y,Y,,Y,Y,,,,,,,
SF Kids,Point Reyes National Seashore,1 Bear Valley Rd,Point Reyes Station,CA,94956,(415) 464-5100,www.nps.gov/pore/,"From its thunderous ocean breakers crashing against rocky headlands and expansive sand beaches to its open grasslands, brushy hillsides, and forested ridges, Point Reyes offers visitors over 1500 species of plants and animals to discover. Home to several cultures over thousands of years, the Seashore preserves a tapestry of stories and interactions of people. Point Reyes awaits your exploration.",N,Park,,,,,,3 and up,Tomales Bay Oyster Company,Hog Island Oysters,,,,6,0,6,0,6,0,6,0,6,0,6,0,6,0,,,,,,,,,,,,
SF Kids,Ocean Beach,Golden Gate National Recreation Area,San Francisco,CA,94122,,,"Picture a 3.5-mile stretch of white beach with few tourists and no highrises. It's just you and the waves and the seabirds at Ocean Beach, on the westernmost border of San Francisco, adjacent to Golden Gate Park. Great for strolling and flying kites, but the water is frigid and the currents hazardous for all but the most experienced surfers.",N,Park,,,,,,0 and up,Surfing,Cliff House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF Kids,Muir Woods National Monument,1 Muir Woods Rd,Mill Valley,CA,94941,(415) 388-2595,http://www.nps.gov/muwo/index.htm,"Muir Woods has a rich and varied history, from its use by the Coast Miwok people, to its early days of tourism and the Mount Tamalpais Mill Valley Scenic Railway, to an era of conservation, to modern preservation. In each era, the forest has been affected by the actions of humans, for better or for worse.",Y,Park,Tours,,,,,0 and up,Hiking,,,,,8,Sunset,8,Sunset,8,Sunset,8,Sunset,8,Sunset,8,Sunset,8,Sunset,,Y,,Y,,,,,,,,
SF Kids,Mount Tamalpais State Park,3801 Panoramic Hwy,Mill Valley,CA,94941,(415) 388-2070,http://www.parks.ca.gov/?page_id=471,"Just north of San Francisco's Golden Gate is Mount Tamalpais.  It has redwood groves and oak woodlands with a spectacular view from the 2,571-foot peak.
On a clear day, visitors can see the Farallon Islands 25 miles out to sea, the Marin County hills, San Francisco and the bay, hills and cities of the East Bay, and Mount Diablo. On rare occasions, the Sierra Nevada's snow-covered mountains can be seen 150 miles away. ",N,Park,,,,,,4 and up,Picnic,Hiking,Biking,Beach,,7,Sunset,7,Sunset,7,Sunset,7,Sunset,7,Sunset,7,Sunset,7,Sunset,,,,,,,,,,,,
SF Kids,Marina Green Park,Marina Green Park,San Francisco,CA,94123,415 831-5500,http://sfrecpark.org/reservablefacility/marina-green/,"The Marina Green, located in San Francisco’s scenic Marina District, is located along the San Francisco Bay and runs the whole expanse between Fort Mason and the Presidio.  This location provides stunning views of the Golden Gate Bridge, Alcatraz, Angel Island, and is surrounded by historic homes. Located nearby is one of the only remnants of the 1915 Panama-Pacific International Exposition, the Palace of Fine Arts, which can be seen from the Marina Green. Not only is this area an attraction for tourists due to the sights and the history, but it is also a local hangout for runners, athletes, or casual picnickers.",N,Park,,,,,,0 and up,Picnic,Soccer,Softball,,,9,17,9,17,9,17,9,17,9,17,9,12,,,,,,,,,,,,,,
SF Kids,San Francisco Maritime National Historical Park,2905 Hyde St,San Francisco,CA,94109,(415) 447-5000,http://www.nps.gov/safr/index.htm,"Stand on the stern of BALCLUTHA, face west to feel the fresh wind blowing in from the Pacific Ocean. Located in the Fisherman's Wharf neighborhood, San Francisco Maritime National Historical Park offers the sights, sounds, smells and stories of Pacific Coast maritime history.",N,Park,Maritime Museum ,,,,,4 and up,Hyde Street Pier,Aquatic Park,,,,9:30,17,9:30,17,9:30,17,9:30,17,9:30,17,9:30,17,9:30,17,,,,,,,,,,,,
SF Kids,Golden Gate Park,Golden Gate Park,San Francisco,CA,94122,(415) 831-2700,http://sfrecpark.org/parks-open-spaces/golden-gate-park-guide/,"We’re proud to welcome more than 13 million visitors each year to Golden Gate Park, one of San Francisco’s greatest treasures. From a vast, windswept expanse of sand dunes, park engineer William Hammond Hall and master gardener John McLaren carved out an oasis–a verdant, horticulturally diverse, and picturesque public space where city dwellers can relax and reconnect with the natural world.",N,Park,Stow Lake Boathouse - Boat Rental,,,,,0 and up,Conservatory of Flowers,de Young Museum,California Academy of Sciences,Picnic,,6,22,6,22,6,22,6,22,6,22,6,22,6,22,,,,,,,,,,,,
SF Kids,China Beach,Sea Cliff Ave,San Francisco,CA,94121,(415) 561-4323,http://www.nps.gov/goga/planyourvisit/chinabeach.htm,"Located in the Sea Cliff neighborhood of San Francisco outside the Golden Gate, this cove is tucked between Baker Beach & Land's End. Offering spectacular views of Marin Headlands and The Golden Gate this cove of sand is good place for sunbathing, play spot for children and a picnic. Observe the monument to the Chinese fishermen and early residents who camped and anchored in the cove.",N,Park,,,,,,0 and up,beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF Kids,Nuevo State Reserve,1 New Years Creek Road,Pescadero 94060,CA,94060,(650) 879-2025,http://www.parks.ca.gov/?page_id=523,"Año Nuevo State Park’s rich variety of natural and cultural resources draws visitors from around the world. The park’s Natural Preserve offers an extraordinary wilderness experience, where every year up to 10,000 elephant seals return to breed, give birth, and molt their skin amongst the scenic dunes and beaches. ",Y,Park,Guided Walks,,,,,6 and up,Elephant seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF Kids,Angel Island State Park,Pier 41,San Francisco,CA,94133,4154351915,www.angelisland.org,"Accessible by commercial ferries, charter and private boats, Angel Island State Park, the largest Island in San Francisco Bay, is located one mile south of the Tiburon Peninsula.",N,Park,,,,,,3 and up,hiking,biking,camping,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF Kids,Adventure Playground,160 University Ave,Berkeley,CA,94710,5109816720,http://www.ci.berkeley.ca.us/adventureplayground/,"The Adventure Playground at the Berkeley Marina was opened in 1979. It is a wonderfully unique outdoor facility where staff encourage children to play and build creatively. Come climb on the many unusual kid designed and built forts, boats, and towers. Ride the zip line or hammer, saw, and paint. By providing these low risk activities Adventure Playground creates opportunities for children to learn cooperation, meet physical challenges and gain self confidence. Pictures of a fort building project.",Y,Park,,,,,,7 and up,drop off,,,,,,,,,,,,,,,11,16,11,16,,,,,,,,,,,,
