Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category / Type,Event 1,Event 2,Event 3,Event 4,Event 5,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Open,Sunday Open,Sunday Close,Parking,Restroom,Stroller friendly,Snugabug Picks,Source
Aquarium of the Bay,"PIER 39, 2 Beach Street",San Francisco,CA,94133,edf,http://www.aquariumofthebay.org/,"You can explore the magic, beauty and wonder of San Francisco Bay at Aquarium of the Bay. The Discover the Bay exhibit featuring the distinctive ecosystems that support an incredibly wide variety of marine life. You can stroll through 300 feet of crystal clear tunnels featuring over 20,000 marine animals from San Francisco Bay and nearby waters and don’t miss the Touch the Bay pools with sharks, rays and sea stars, and the interactive Bay Lab station.",Y,Aquarium,,,,,,3 and up,,,,,9,20,9,20,9,20,9,20,9,20,9,20,9,20,Y,Y,Y,,SF Kids
Oakland Zoo,9777 Golf Links Rd,Oakland,CA,94605,(510) 632-9525,www.oaklandzoo.org/,"Oakland Zoo is nestled in the rolling hills of 525-acre Knowland Park, and is home to more than 660 native and exotic animals. You can visit a particular animal, watch feeding of the animals, or play in the Children's Zoo. Or maybe you want to ride the train or the rollercoaster. Don’t miss the African Veldt where you can find the beautiful herd of giraffes, elands and egyptian geese. In the African Savannah you will find the elephants, the lions, and the zebras. The rain forest and the wild Australia are unique as well.",Y,Zoo,Camps,,,,,0 and up,Picnic,Animal Feedings,,,10,16,10,16,10,16,10,16,10,16,10,16,10,16,Y,Y,Y,Y,SF Kids
San Francisco Zoo,Sloat Blvd. at the Great Highway,San Francisco,CA,94132,(415) 753-7080,www.sfzoo.org,"The San Francisco Zoo is an urban oasis. It is home to over 1,000 exotic, endangered and rescued animals representing more than 250 species and lovely peaceful gardens full of native and foreign plants. The African Region and the Savanna offer a multi-species landscape with giraffes, zebras, kudu, ostriches, storks, and more. At Hearst Grizzly Gulch, visitors can find the rescued grizzly sisters Kachina and Kiona. The Lipman Lemur Forest is the largest outdoor lemur habitat in the US. You can also enjoy the Magellanic penguins and the troop of gorillas. Farm animals for feeding and petting can be found in the Children’s Zoo.",Y,Zoo,,,,,,0 and up,Petting Zoo,Dentzel Carousel,Steam Train,Playground,10,17,10,17,10,17,10,17,10,17,10,17,10,17,Y,Y,Y,Y,SF Kids
Randall Museum,199 Museum Way,San Francisco,CA,94114,(415) 554-9600,www.randallmuseum.org/,"The Randall Museum is a place that fosters a love of science, natural history and the arts in people of all ages. There are opportunities for active involvement and recreation in an integrated program of arts and sciences. Focusing on the cultures and environment of the San Francisco Bay Area, the Museum strives to inspire creativity, curiosity, and appreciation of the world around us. It provides exhibits, classes, workshops, presentations, special events, and many other hands-on learning experiences for children and adults.",N,Museum,Camps,,,,,2 and up,Science,Toddler art class,,,10,17,10,17,10,17,10,17,10,17,10,17,10,17,Y,Y,Y,,SF Kids
Ardenwood Historical Farms,34600 Ardenwood Blvd,Fremont,CA,94555, (510) 544-2797,http://www.ebparks.org/parks/ardenwood,"Ardenwood is a working farm with activities change from season to season. It utilises agricultural practices from the 1870s to the present that demonstrate the transition from horse-powered to horsepower farming. The interpretive staff and volunteers, attired in Victorian clothing, guide guests through the Victorian house, demonstrate farm chores, and explain what life was like in the early 1900s. From December to mid-February monarch butterflies overwinter there.",Y,Farm,House tours,,,,,2 and up,,,,,,,10,17,10,17,10,17,10,17,10,17,10,17,Y,Y,Y,,SF Kids
Dunsmuir House & Garden,2960 Peralta Oaks Ct,Oakland,CA,94605, (510) 615-5555,www.dunsmuir-hellman.com,"The 37-room Dunsmuir mansion set upon 50 acres of beautifully landscaped grounds features a Tiffany-style dome and wood paneled public rooms its 16,224 square feet. A wide variety of trees, including Camperdown Elms, Bunya-Bunya and Hornbeam, surround the estate. The property also contains a golf course, formal croquet court, tennis court, swimming pool formal garden maze, and Japanese garden.",Y,Nature Center,,,,,,3 and up,House tours,picnic,,,10,16,10,16,10,16,10,16,10,16,,,,,Y,Y,Y,,
Lindsay Wildlife Museum,1931 1st Ave,Walnut Creek,CA,94597,(925) 935-1978,wildlife-museum.org/,"Lindsay Wildlife Museum is a family museum and wildlife rehabilitation center. The museum’s programs “connect people with wildlife to inspire responsibility and respect for the world we share.” The museum houses an interactive discovery room for children, a pet education section with small domestic animals, and rotating natural history and art exhibits. The on-site wildlife rehabilitation center treats nearly 6,000 injured or orphaned wild animals each year.",Y,Museum,Camps,,,,,2 and up,,,,,,,,,12,17,12,17,12,17,10,17,10,17,Y,Y,Y,,SF Kids
Tilden Nature Area Environmental Education Center,600 Canon Dr,Berkeley,CA,94708,(510) 544-2233,http://www.ebparks.org/parks/tilden,"From a carousel ride and a picnic to a swim at Lake Anza and a stroll through the Botanic Garden, Tilden has variety to delight everyone. With over 10 miles of hiking trails, the preserve contains a blend of native and introduced plant communities, including oak/bay woodlands, grasslands, eucalyptus forests, and streams.  The park is reached via Canon Drive, Shasta Road, or South Park Drive, all off Grizzly Peak Boulevard in Berkeley.",N,Nature Center,Pony Ride,Carousel,,,,2 and up,Bikes,Camping,Train,Botanic garden,,,10,16:30,10,16:30,10,16:30,10,16:30,10,16:30,10,16:30,Y,Y,Y,,
Tilden Little Farm,600 Canon Dr,Berkeley,CA,94708,(510) 544-2233,http://www.ebparks.org/parks/tilden,"From a carousel ride and a picnic to a swim at Lake Anza and a stroll through the Botanic Garden, Tilden has variety to delight everyone. With over 10 miles of hiking trails, the preserve contains a blend of native and introduced plant communities, including oak/bay woodlands, grasslands, eucalyptus forests, and streams.  The park is reached via Canon Drive, Shasta Road, or South Park Drive, all off Grizzly Peak Boulevard in Berkeley.",N,Petting Zoo,,,,,,2 and up,,,,,8:30,16,8:30,16,8:30,16,8:30,16,8:30,16,8:30,16,8:30,16,Y,Y,Y,,
Hidden Villa Farm and Wilderness Preserve,26870 Moody Rd,Los Altos,CA,94022,(650) 949-8650,www.hiddenvilla.org,"Hidden Villa is an educational organization that uses its organic farm, wilderness, and community to teach and provide opportunities to learn about the environment and social justice. Hidden Villa stretches over 1600 acres of open space in the foothills of the Santa Cruz Mountains, about 40 miles south of San Francisco. Their mission is to inspire a just and sustainable future through their programs, land and legacy.",Y,Farm,Camping,,,,,0 and up,Picnic,Hiking,Farm Tours,,,,9,19,9,19,9,19,9,19,9,19,9,19,Y,Y,Y,,
Sulphur Creek Nature Center,1801 D St,Hayward,CA,94541,(510) 881-6747,http://www.haywardrec.org/129/Sulphur-Creek-Nature-Center,The mission of the Sulphur Creek Nature Center is to instill a sense of responsibility for the welfare of our world by bringing people and animals closer together through wildlife rehabilitation and education.  ,N,Nature Center,,,,,,3 and up,Wildlife Rehabilitation,Wildlife Education,Birthday,,10,17,10,17,10,17,10,17,10,17,10,17,10,17,N,Y,N,,
Lemos Family Farm,12320 San Mateo Rd,Half Moon Bay,CA,94019,(650) 726-2342,www.lemosfarm.com,"You will find many fun activities in Lemos Farm. You can take a ride on the Choo-Choo train or on one of the ponies. The Petting Zoo is an enclosed corral for the pygmy goats, goats, and sometimes other animals drop by as well. OK Play Corral features a small-scale play structure for small children, and a large collection of toys. Kids also enjoy watching the power of a hydraulic digging machine, or take a big bite of gravel, hoist the bucket up high, and then dump it out with a satisfying noise!",N,Farm,,,,,,0 and up,Petting Zoo,Train Ride,Pony Rides,Hay Rides,,,,,,,,,,,9,17,9,17,Y,Y,Y,,
CuriOdyssey,1651 Coyote Point Dr,San Mateo,CA,94401,(650) 342-7755,http://www.curiodyssey.org/,"CuriOdyssey is a science and wildlife
center for kids. It encourages curiosity through interactive science exhibits,
animal encounters and education programs. It gives young learners
the opportunity to make discoveries at their own pace. From the animal
and science exhibits to the hand on - things like a fog machine, air vents that
shoot foam pieces into the air, magnets that direct water around, etc. Check
out the (small) zoo with the bobcats, birds, otters, and more.",Y,Museum,,,,,,2 and up,Animal shows,camp,pre-school camp,Coyote Point Museum for Environmental Education,,,10,17,10,17,10,17,10,17,10,17,10,17,Y,Y,Y,Y,SF Kids
Morrison Planetarium,55 Music Concourse Dr,San Francisco,CA,94118,(415) 379-8000,http://www.calacademy.org/exhibits/morrison-planetarium,"In the Morrison Planetarium you will find an aquarium,
planetarium, natural history museum, and four-story rainforest—all under one
living roof. The Academy is home to nearly 40,000
live animals and boasts stunning exhibits and a wide range of interpretive
technologies to help you get to know the creatures, the roles they play in
their ecosystems, and the importance of protecting them.
 ",Y,Museum,,,,,,6 and up,California Academy of Science,,,,9:30,17,9:30,17,9:30,17,9:30,17,9:30,17,9:30,17,11,17,Y,Y,Y,,SF Kids
Lawrence Hall of Science,1 Centennial Dr,Berkeley,CA,94720,(510) 642-5132,www.lawrencehallofscience.org,"The Lawrence Hall of Science provides parents, kids, and educators with opportunities to engage with science. In the planetarium you can explore the habitable zone planets. Or you can visit SPEED: Science in Motion, where you get to jump into the pit and experience everything about racing as a race car scientist! Or fly through the thick atmosphere of Venus, magnetic storms on the sun, liquid methane showers on Titan, and anticyclones whirling at hundreds of miles per hour on Jupiter in our new 3D film.",Y,Museum,Summer Camp,,,,,2 and up,Planetarium,National Geographic 3D Theater,Animal Discovery Room,,10,17,10,17,10,17,10,17,10,17,10,17,10,17,Y,Y,Y,Y,SF Kids
Marine Mammal Center,2000 Bunker Rd,Sausalito,CA,94965,(415) 289-7325,http://www.marinemammalcenter.org/,At the Marine Mammal Center they rescues and rehabilitation sick and injured marine mammals. They work with scientist to expand and advance scientific knowledge about marine mammals and inspire their global conservation.  ,N,,,,,,,2 and up,Sleep over,Seal,Sealion,,10,17,10,17,10,17,10,17,10,17,10,17,10,17,Y,Y,Y,,
Fitzgerald Marine Reserve,200 Nevada Ave,Moss Beach,CA,94038,(650) 728-3584,https://parks.smcgov.org/fitzgerald-marine-reserve,"This rocky seashore hosts a living community of marine life that is of great interest to visitor and naturalist alike. A variety of seaweed, crabs, sponges, seastars, mollusks, and fish make their homes in the area between low and high tide. The Reserve is set aside to protect this complex but fragile community for us and future generations. The Reserve is popular with school and community groups for its educational value.",N,Nature Center,,,,,,3 and up,Tours,Hiking,,,8,,8,,8,,8,,8,,8,,8,,Y,Y,N,,
Old Borges Ranch,1035 Castle Rock Road,Walnut Creek,CA,94598,(925) 943-5860,http://www.walnut-creek.org/about/visiting_us/borges_ranch.asp,"The Old Borges Ranch is a 1,035 acres Historic District containing four contributing buildings. The former ranch of early Walnut Creek pioneer Frank Borges is the home base for Walnut Creek's Shell Ridge Open Space activities. The ranch complex includes a blacksmith shop, numerous outbuildings, farm equipment displays, and a barn. Today, Borges Ranch serves as a ranger station, maintenance facility, and ranger residence.",N,Farm,,,,,,4 and up,Petting zoo,Animals,hiking,Dogs on leash,9,17,9,17,9,17,9,17,9,17,,,,,Y,Y,N,,
Palo Alto Junior Museum & Zoo,1451 Middlefield Rd,Palo Alto,CA,94301,(650) 329-2111,www.cityofpaloalto.org/gov/depts/csd/jmz/,"The junior museum and zoo is a place where children come to explore, discover, create and play. 
The Zoo is home to more than 50 species of including bobcats, raccoons, jungle bats, hedgehogs, ferrets, snakes, fresh water fish and invertebrates, birds, turtles and a giant tortoise. It’s a perfect place to engage a child's curiosity in science and nature.",N,Museum,,,,,,1 and up,Birthday,,,,,,,,10,17,10,17,10,17,10,17,13,16,Y,Y,Y,,
Happy Hollow Park & Zoo,1300 Senter Rd,San Jose,CA,95112,(408) 794-6400,www.hhpz.org,"Happy Hollow Park & Zoo is a small 16-acre zoo and amusement park. It offers amusement rides, puppet shows, interactive play areas, educational programs, unique events, and exciting adventures the whole family can enjoy. The Zoo has a diverse collection of animals, many of which are endangered in the wild. ",Y,Zoo,Classes,Camps,,,,2 and up,Birthday,Picnic,Sleepover,,10,17,10,17,10,17,10,17,10,17,10,17,10,17,Y,Y,Y,Y,
Deer Hollow Farm,22500 Cristo Rey Drive,Cupertino,CA,95014,(650) 903-6430,deerhollowfarmfriends.org,"Deer Hollow Farm is a 160 year-old historical ranch that supports environmental education programs. 
It is a teaching farm and garden and has Cows, rabbits, chickens, goats, cheep, hogs, geese, and a few sweet farm cats. There are certain spots where you are able to pet the animals. There is a barn with picnic tables and neat little historical cabins.",N,Farm,,,,,,2 and up,Petting zoo,Animals,hiking,picnic,,,8,16,8,13,8,16,8,16,8,16,8,16,Y,Y,Y,,
Safari West,3115 Porter Creek Rd,Santa Rosa,CA,95404,(707) 579-2551,www.safariwest.com,An African adventure in the heart of California wine country. Guests may explore the Sonoma Serengeti on an African wildlife safari alongside romping herds of exotic wildlife or relax in a luxury safari tent under the gaze of a graceful giraffe. The park actively promotes conservation and environmental education concepts. ,Y,Zoo,Safari Tours,Private Tours,,,,3 and up,Advanced reservations,guest room,hotel,,8,21,8,21,8,21,8,21,8,21,8,21,8,21,Y,Y,N,,
Shorebird Nature Center,160 University Ave,Berkeley,CA,94710,(510) 981-6720,http://www.ci.berkeley.ca.us/Parks_Rec_Waterfront/Trees_Parks/Shorebird_Nature_Center.aspx,"The Shorebird Nature Center is a display on green building. The Visitors' Center provides information concerning all areas of recreation and marine conservation and education. It has a display on Marine mammals and birds. In the free playground kids (and their parents) can build with wood, nails, and paint or where Kids can a ride on a zip line, cargo net and more.",N,,,,,,,4 and up,,,,,,,9,17,9,17,9,17,9,17,9,17,9,17,Y,Y,Y,,
