Place ID,Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category / Type,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Standard hours,Hours,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Close,Sunday Open,Sunday Close,Parking,Restroom,Change table,Stroller friendly,Snugabug Picks,Photos,,
IND1,Pump It Up,"1309 Elmer Street, Unit A",Belmont,CA,94002,(650) 352-5867,http://www.pumpitupparty.com/open-jump/belmont-ca,"Filled with massive inflatable slides and jumpers, Pump It Up is a fun venue for birthday parties and open jump events. Birthday parties get private rental of the entire play area and party room. Check their website for open jump times. The parking lot is rather small, only having spots for 20 cars. ",Y,Indoor Playspace,2 and up,Inflatable houses,Birthday Party,,,,,,,,,,,,,,,,,,,Y,Y,,,,Y,,
IND2,Studio Grow,1235 Tenth Street,Berkeley,CA,94710,510-526-9888,http://www.studiogrow.com/berkeley/berkeleyhome,"Studio Grow Berkeley offers educational play and programs for children ages 0-6 and their families and caregivers. No membership or reservations required.  You can drop in any time and enjoy a wide variety of activities. Come for Story, Music, or Parachute programs. Have your birthday party at Studio Grow, attend summer camp, or come to a Parent Education Party.",Y,Indoor Playspace,0 and up,art ,music,dress up,Birthday Party,,,9:30,18,9:30,18,9:30,18,9:30,18,9:30,18,9:30,14,,,Y,Y,,,,Y,,
IND3,Peekadoodle Kidsclub,2425 Camino Tassajara,Danville,CA,94526,925.736.7335,http://www.peekadoodle.com/danville/,"Peekadoodle Kidsclub offers a balance between exploratory play and structured learning. The club has been designed to foster independence and creative thinking at the earliest stages, and to nurture those principles from infancy through preschool.  In addition to featuring a larger Golden Gate Bridge, quaint Victorian, and child-sized cable car, the playspace is maintained by a team of cleaners who ensure that toys are washed and surfaces are sanitized. The playspace is open for play Monday through Saturday for members and is reserved for private events on Sundays.",Y,Indoor Playspace,0 to 5,Birthday Party,,,,,,8:30,17:30,8:30,17:30,8:30,17:30,8:30,17:30,8:30,17:30,,,,,Y,Y,Y,Y,,Y,,
IND4,Studio Grow,3612 Blackhawk Plaza Circle,Danville,CA,94506,925 648 7529,http://www.studiogrow.com/blackhawk/blackhawkhome,"Studio Grow Berkeley offers educational play and programs for children ages 0-6 and their families and caregivers. No membership or reservations required.  You can drop in any time and enjoy a wide variety of activities. Come for Story, Music, or Parachute programs. Have your birthday party at Studio Grow, attend summer camp, or come to a Parent Education Party.",Y,Indoor Playspace,0 and up,art ,music,dress up,Birthday Party,,,10,18,10,18,10,18,10,18,10,18,10,14,,,Y,Y,,,,Y,,
IND5,Rockin’ Jump,"5875 Arnold Road, Suite 100 ",Dublin,CA,94568,925 828 7676,http://dub.rockinjump.com/,"Help your children burn off some energy, they will enjoy jumping on open trampolines and into pools of soft foam cubes. You can go during daily open hours or they have dedicated jumping times for kids 6 and under on Tuesdays and Wednesdays from 9:00 AM to 11:00 AM and Saturdays from 8:00 AM to 10:00 AM. ",Y,Indoor Playspace,2 and up,Trampoline Parks,Birthday Party,,,N,,,,,,,,,,,,,,,,Y,Y,,,,Y,,
IND6,Rockin’ Jump,39177 Farwell Dr,Fremont,CA,94538,510-246-3098,http://fre.rockinjump.com/,"Help your children burn off some energy, they will enjoy jumping on open trampolines and into pools of soft foam cubes. You can go during daily open hours or they have dedicated jumping times for kids 6 and under on Tuesdays and Wednesdays from 9:00 AM to 11:00 AM and Saturdays from 8:00 AM to 10:00 AM. ",Y,Indoor Playspace,2 and up,Trampoline Parks,Birthday Party,,,N,,,,,,,,,,,,,,,,Y,Y,,,,Y,,
IND7,Play!,170 State Street,Los Altos,CA,94022,(650) 559-0960,http://www.playlosaltos.com/,"Play! is an indoor play space for exploration and learning. Open daily for parent supervised play time, for all ages. The room is divided into different areas such as dress up, gross motor, fine motor, dancing area, climbing area, reading area, cozy area and an art studio. They also offer classroom activities daily for parents and children to explore, including engaging crafts for the little kids. Play pass start at $10 per 30 mins.",Y,Indoor Playspace,0 and up,music,dance,crafts,Birthday Party,,,9,18,9,18,9,18,9,18,9,18,10,17,10,17,Y,Y,,Y,,Y,,
IND8,U-Me,3355 Edison Way,Menlo Park,CA,94025,650.257.7511,http://www.u-meplace.com/,"U-ME is a large, interactive children's play space with nice equipment and lots of toys. There are daily activities including music, dance, gymnastics, art & sciences. It has an attached organic cafe & workspace for parents. The drop in fee for one time use is $25 and monthly memberships start at $70.",Y,Indoor Playspace,1.5 and up,Birthday Party,,,,,,9,18,9,18,9,18,9,18,9,18,10,16,10,16,Y,Y,N,,,Y,,
IND9,Pump It Up,164 N Abel St,Milpitas,CA,95035,(408) 400-9663,http://www.pumpitupparty.com/open-jump/milpitas-ca,"Filled with massive inflatable slides and jumpers, Pump It Up is a fun venue for birthday parties and open jump events. Birthday parties get private rental of the entire play area and party room. Check their website for open jump times.  ",Y,Indoor Playspace,2 and up,Inflatable houses,Birthday Party,,,,,,,,,,,,,,,,,,,Y,Y,,,,Y,,
IND10,Pump It Up,530 Boulder Ct. Suite 100,Pleasanton,CA,94566,(925) 600-9663,http://www.pumpitupparty.com/open-jump/pleasanton-ca,"Filled with massive inflatable slides and jumpers, Pump It Up is a fun venue for birthday parties and open jump events. Birthday parties get private rental of the entire play area and party room. Check their website for open jump times.  ",Y,Indoor Playspace,2 and up,Inflatable houses,Birthday Party,,,,,,,,,,,,,,,,,,,Y,Y,,,,Y,,
