Place ID,Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category,Subcategory,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Open,Sunday Open,Sunday Close,Parking,Restroom,Change table,Stroller friendly,Snugabug Pick
PAR1,Golden Gate Mothers' Group,,San Francisco,CA,,,http://www.ggmg.org,"The Golden Gate Mothers Group is a San Francisco-based mothers group that focuses on moms and all things motherhood. With over 4,000 members, this is the premier mothers' group for San Francisco. $75 per year",Y,Parent and Support Groups,Mothers' Groups,San Francisco,Playgroups,,,,,,,,,,,,,,,,,,N,N,,N,Y
PAR2,Corte Madera and Larkspur Mothers' Group,,Corte Madera ,CA,,,http://www.cmlmc.org,"Over 210 families throughout central and southern Marin enjoy membership in the CMLMC. For familes with a newborn through 5 years old. $55 per year
",Y,Parent and Support Groups,Mothers' Groups,Corte Madera ,Larkspur,Marin,Playgroups,,,,,,,,,,,,,,,,N,N,,N,N
PAR3,Novato Mothers' Club,,Novato,CA,,,http://novatomothersclub.com,"Over 400 members enjoy an online forum, playgroups, children’s outings, family events, mom’s night outs, and a quarterly newsletter. $50 per year",Y,Parent and Support Groups,Mothers' Groups,Novato,Playgroups,,,,,,,,,,,,,,,,,,N,N,,N,N
PAR4,Petaluma Mothers' Club,,Petaluma,CA,,7072382204,http://petalumamothersclub.org,"The Petaluma Mothers’ Club provides activities and support to mothers with children ages five and under in Petaluma, California. $40 per year",Y,Parent and Support Groups,Mothers' Groups,Petaluma,Playgroups,,,,,,,,,,,,,,,,,,N,N,,N,N
PAR5,San Rafael Mothers' Club,,San Rafael,CA,,,http://www.srmoms.org,"Very active club with many events and playgrounds, serves San Rafael and surrounding cities",Y,Parent and Support Groups,Mothers' Groups,San Rafael,Playgroups,Marin,San Anselmo,Fairfax,,,,,,,,,,,,,,,N,N,,N,Y
PAR6,Ross Valley Mothers' Club,,Ross Valley,CA,,,http://www.rvmc.net,More then 400 families from all around the Ross Valley area are members of the RVMC. $50 per year,Y,Parent and Support Groups,Mothers' Groups,Ross Valley,Playgroups,Marin,Greenbrae,Kentfield,,,,,,,,,,,,,,,N,N,,N,N
PAR7,Santa Rosa Mothers' Club,,Santa Rosa,CA,,,http://www.santarosamothersclub.org,"Moms of 0-5 year olds, has a variety of exercise classes, playgrounds, and events for Moms",Y,Parent and Support Groups,Mothers' Groups,Santa Rosa,Playgroups,Sonoma,Kenwood,,,,,,,,,,,,,,,,N,N,,N,N
PAR8,Southern Marin Mothers' Club,,Marin,CA,,,http://www.southernmarinmoms.com,The Southern Marin Mothers' Club is a community of moms and dads who join to connect with other parents and find activities and play groups for their kids.age from birth through ten years. $75 per year,Y,Parent and Support Groups,Mothers' Groups,Marin,Playgroups,Sausalito,Marin City,Mill Valley,,,,,,,,,,,,,,,N,N,,N,Y
PAR9,Amador Mothers' Club,,Dublin ,CA,,,http://www.amadormothersclub.com/,"Focused on families with children 0-5, this club offers playgroups, activities, outings and parties",N,Parent and Support Groups,Mothers' Groups,Dublin ,Livermore,Pleasanton,Playgroups,San Ramon,,,,,,,,,,,,,,,N,N,,N,N
PAR10,Castro Valley Mothers' Club,,Castro Valley,CA,,,http://www.castrovalleymothersclub.com/,CVMC meets on the second Thursday of every other month from 7:00 – 9:00 PM. Interested moms (or moms to be) are welcome to attend one meeting as a visitor. $35 per year,Y,Parent and Support Groups,Mothers' Groups,Castro Valley,Hayward,San Leandro,Playgroups,,,,,,,,,,,,,,,,N,N,,N,N
PAR11,East Bay Moms & Dads,,Oakland,CA,,,http://eastbaymoms.com,"About 75 active members, this group meet every Saturday at 10:00 am. $45 per year",Y,Parent and Support Groups,Mothers' Groups,Oakland,Playgroups,,,,,,,,,,,,,,,,,,N,N,,N,N
PAR12,"Fremont, Union City, Newark (FUN) Mothers' Club",,Fremont,CA,,,http://www.funmothersclub.org,Focused on families with children up to pre-kindergarden age. $48 per year,Y,Parent and Support Groups,Mothers' Groups,Fremont,Newark,Union City,Playgroups,,,,,,,,,,,,,,,,N,N,,N,N
PAR13,Iron Horse Mothers' Club,,Dublin ,CA,,,http://www.ironhorsemothersclub.com,"Many benefits include speaker series, field trips, playgrounds, and support for new moms. $40 per year",Y,Parent and Support Groups,Mothers' Groups,Dublin ,San Ramon,Danville,Alamo,Playgroups,,,,,,,,,,,,,,,N,N,,N,Y
PAR14,Lamorinda Mothers' Club,,Orinda,CA,,,http://www.lamorindamoms.org,Lamorinda Moms is a social and support group for moms with children age six and younger within the greater Lamorinda. $55 per year,Y,Parent and Support Groups,Mothers' Groups,Orinda,Lafayette,Moraga,Playgroups,,,,,,,,,,,,,,,,N,N,,N,N
PAR15,Mount Diablo Mothers' Club,,Walnut Creek,CA,,,http://www.mdmcmom.org,MDMC offers its members various activities throughout the year. $56 per year,Y,Parent and Support Groups,Mothers' Groups,Walnut Creek,Pleasant Hill,Martinez,Clayton,Playgroups,,,,,,,,,,,,,,,N,N,,N,N
PAR16,Point Richmond Association of Moms,,Point Richmond,CA,,,http://www.pram.net,Very active club with classes and playgrounds. $72 per year,Y,Parent and Support Groups,Mothers' Groups,Point Richmond,Marina Bay,Brickyard,Playgroups,,,,,,,,,,,,,,,,N,N,,N,Y
