Place ID,Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category,Subcategory,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Open,Sunday Open,Sunday Close,Parking,Restroom,Change table,Stroller friendly,Snugabug Picks
AMU1,Waterworld California,1950 Waterworld Pkwy,Concord,CA,94520,(925) 609-1364,www.waterworldcalifornia.com,"Large water park, great for the summer if you live near Concord. There are pools, slides and 8 different rides. Most rides require a height limit of 48 inches. Two separate waterplay playgrounds for the under 48 inches crowd. Consider a seaonal pass to get more value. ",Y,Amusement Parks,Water parks,3 and up,Water sprayground,Water playground,Water slide,pool,10:30,17,10:30,17,10:30,17,10:30,17,10:30,17,10:30,18,10:30,18,Y,Y,,Y,N
AMU2,Pixieland Amusement park,2740 E Olivera Rd,Concord,CA,94519,(925) 676-9612,www.pixieland.com/,"The place is small and contains only 7 rides, but it's perfect for little kids, and you don't need to walk far to go to other rides. There is no entrance fee, you buy the tickets for the rides and parking is free.",N,Amusement Parks,,1 and up,birthday,,,,,,,,,,,,11,15,10:30,16:30,11,16:30,Y,Y,,Y,N
AMU3,Gilroy Gardens Family Theme Park,3050 Hecker Pass Hwy,Gilroy,CA,95020,(408) 840-7100,https://www.gilroygardens.org,"This park offers over 40 rides and exhibitions in a beautiful garden setting. Many unique fruit and vegetable themed rides for small and bigger kids plus a roller coaster, railroads, and boat ride. Exhibits include a collection of world famous Circus Trees, a rock maze, and the Learning Sheds as well as a six majestic gardens
throughout the park. For the young at heart don’t miss the Oak Park playground.",Y,Amusement Parks,,1 and up,Bonfante,,,,11,17,11,17,11,17,11,17,11,17,10,18,10,18,Y,Y,,Y,N
AMU4,Children's Fairyland,699 Bellevue Ave,Oakland,CA,94610,(510) 452-2259,fairyland.org,"With close to 40 storybook sets, kid-size rides, 15 domestic friendly animals, and 10 acres of gardens, the park is especially designed for kids under eight.",Y,Amusement Parks,,1 and up,rides,animals,arts & crafts,,10,16,10,16,10,16,10,16,10,16,10,17,10,17,Y,Y,,Y,N
AMU5,Small world park,2551 Harbor St,Pittsburg,CA,94565,(925) 439-4879,www.smallworldamusementpark.com,"A small amusement park good for toddlers and preschoolers. There is a boat converted to a play structure, train ride, steam boat play, a carousel, a fort, a balloon ride, a Humphrey the Whale ride, playgrounds, an insect barn, as well as a butterfly terrarium.",Y,Amusement Parks,,1 and up,train ride,carousel,picnic,,,,,,11,17,11,17,11,17,11,17,11,17,Y,Y,,Y,N
AMU6,Musee Mechanique,Pier 45 Shed A,San Francisco,CA,94133,(415) 346-2000,www.museemecaniquesf.com,The Musée Mécanique is an interesting place if you enjoy seeing the games through the years. It contains over 300 operating coin operated mechanical machines and arcade machines.,N,Amusement Parks,Arcades,3 and up,,,,,10,19,10,19,10,19,10,19,10,19,10,20,10,20,Y,Y,,Y,N
AMU7,California's Great America,4701 Great America Pkwy,Santa Clara,CA,95054,(408) 988-1776,https://www.cagreatamerica.com/,Great America provides a great choice for family fun and adventure! There is something for everyone. From the many rides and attractions to a water park or even a planet snoopy for the young at heart.  Don’t miss the live entertainment and the daily special events. Be minded for the long lines on the popular rides.,Y,Amusement Parks,,3 and up,Water Park,Picnic,,,10,22,10,22,10,22,10,22,10,22,10,22,10,22,Y,Y,,Y,Y
AMU8,Santa Cruz Beach Boardwalk,400 Beach St,Santa Cruz,CA,95060,(831) 423-5590,www.beachboardwalk.com,The Boardwalk combines the attraction of the California beach with the thrills of an amusement park. It  offers kiddie and family rids as well as many attractions such as a mini golf and a boardwalk bowl.,Y,Amusement Parks,,3 and up,Movie,Concert,Roller coaster,Indoor Arcade,11,17,11,17,11,17,11,17,11,19,10,20,10,20,Y,Y,,Y,Y
AMU9,Six Flags Discovery Kindgom,1001 Fairgrounds Dr,Vallejo,CA,94589,(707) 644-4000,https://www.sixflags.com/discoverykingdom,Enjoy a fun day with the family at this 135 acres theme park. The park has diverse rides from pulse-pounding roller coasters to gentler options for tots. Their animal program offers unique opportunities to meet animals truly up-close and personal. In addition to the most thrilling rides you'll find a wide variety of top-shelf entertainment and fresh prepared to order and ready to thrill your taste buds. ,Y,Amusement Parks,,2 and up,Dolphin,Giraffe,Picnic,Seal,10:30,20,10:30,20,10:30,20,10:30,20,10:30,20,10:30,21,10:30,20,Y,Y,,Y,Y
AMU10,Aqua Adventure,40500 Paseo Padre Pkwy,Fremont,CA,94538,(510) 494-4426,http://www.goaquaadventure.com/,"Small but well planned water park with slides, a river to inner tube around, lap pool and splash area. Separate areas for toddlers, preschoolers and older kids. The 4 large slides at Fortress of Fun have a 48 inch height requirement and the smaller slides in Bucket Bay have a 36 inch height requirement. Open weekends beginning May 24th, daily beginning June 13th – August 24th, and again for weekends only August 30th - September 28th.",Y,Amusement Parks,Water parks,3 and up,Water Park,,,,11,16,11,16,11,16,11,16,11,17,11,17,11,17,Y,Y,,Y,N
AMU11,Raging Waters,2333 S White Rd,San Jose,CA,95148,(408) 238-9900,https://www.rwsplash.com/,"Raging Waters is the largest water park in Northern California with high speed slides, wave pool, tubing and pirated themed water play structure. There are two separate play areas for the little kids. Can get very busy on hot days. Open weekends beginning May 9th, daily beginning June 3rd – August 12th, and again for weekends only August 15th - September 13th. Check opening times on website.",Y,Amusement Parks,Water parks,3 and up,Water Park,,,,,,,,,,,,,,,,,,Y,Y,,Y,N
AMU12,Silliman Family Aquatics Center,6800 Mowry Ave,Newark,CA,94560,(510) 578-4620,http://www.newark.org/departments/recreation-and-community-services/,"32,000 square foot indoor water park with a combination of large slides, spa, open lap pool and a children’s activity pool. The activity pool has zero depth entry and a water play structure. Guests have to be over 48"" to ride the 2 water slides. Best to go early as it can get overcrowded. Check opening times on website.",Y,Amusement Parks,Water parks,3 and up,Water Park,,,,,,,,,,,,,,,,,,Y,Y,,N,N
AMU13,Aquatics Complex at Allan Witt Park,1741 W Texas St,Fairfield,CA,94533,(707) 399 1999,http://www.fairfield.ca.gov/gov/depts/cr/aquatics/default.asp,"Nice park with two playgrounds. What's about this park is the aquatic center. It has a zero-depth entry play area, a lazy river current for fun, a water slide and diving board. A separate outside shallow play area for kids including slides, climbing structures, water dumping toys and water spray toys adjacent to a grass area for families. There are two 30-foot giant pool slides to keep both kids and adults entertained.",Y,Amusement Parks,Water parks,2 and up,Water Park,,,,,,,,,,,,,,,,,,Y,Y,,N,N
