Place ID,Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category,Subcategory,Parking,Restroom,Change table,Stroller trail,Playground,Enclosed playground,"Material of playground floor (rubber, grass, dirt, sand, concrete, wood chip/mulch, asphalt) ",Water play,Sand pit,Toddler Playground,Pre-schooler Playground (2-5) ,School aged Playground (5-12),Picnic table,BBQ,Snugabug Pick
PLA1,Amador Valley Park,4301 Black Ave,Pleasanton,CA,94566,925 931 5361,http://ptownlife.org/play/parks/amador-valley-community-park,,N,Playgrounds,,Y,Y,,Y,Y,N,Wood chip/mulch,N,Y,N,Y,N,N,N,N
PLA10,Brommer Park,1451-1453 30th Ave,Santa Cruz,CA,95062,,,,N,Playgrounds,,Y,Y,,N,Y,N,rubber,N,N,Y,Y,N,Y,Y,N
PLA100,Bayport Park,Mosely Ave & King Fisher Ave,Alameda,CA,94501,,http://alamedaca.gov/recreation/bayport-park,,N,Playgrounds,,Y,Y,,N,Y,Y,mulch,N,N,Y,Y,N,N,N,N
PLA101,Codornices Park,1201 Euclid Ave,Berkeley,CA,94708,510 981 6700,http://www.ci.berkeley.ca.us/Parks_Rec_Waterfront/Trees_Parks/Parks__Cordornices_Park.aspx,"Located next to the Berkeley Rose Garden, Codornices Park is famous for the very tall cement slide. Make sure to sit on cardboard, normally found by the bottom, while riding down the slide. There are also two traditional wooden play structures.",N,Playgrounds,,N,Y,,N,Y,Y,sand,N,Y,Y,Y,Y,Y,N,Y
PLA102,Catamaran Park,Catamaran & Shell Blvd,San Mateo,CA,94404,,,,N,Playgrounds,,N,Y,,Y,Y,N,mulch,N,Y,N,Y,N,N,N,N
PLA103,Crack Park,Villa Savona Ct,Fremont,CA,94539,,,,N,Playgrounds,,N,N,,N,Y,N,mulch,N,N,Y,Y,N,Y,Y,N
PLA104,Central Park,50 E 5th Ave,San Mateo,CA,94010,650 522 7530,,,N,Playgrounds,,Y,Y,N,N,Y,N,mulch,N,Y,Y,Y,Y,Y,Y,N
PLA106,Flickinger Park,Flickinger Ave & Doxey Pl,San Jose,CA,95131,,,Flickinger Park is a sport based park having 3 baseball diamonds and 2 basketball courts. The park contains plenty of parking and has two playgrounds. The picnic area overlooks the tot playground while the older kids playground is slightly further down. ,N,Playgrounds,,Y,Y,,N,Y,N,mulch,N,N,Y,Y,Y,Y,Y,N
PLA107,Golden Hills Park,Bernice lane,Martinez,CA,94553,,,,N,Playgrounds,,N,Y,,Y,Y,N,mulch,N,Y,Y,Y,Y,N,N,N
PLA108,Fairwood Park,1255 Sandia Ave,Sunnyvale,CA,94089,,,"Fairwood Park has an amazing BBQ area which would be great for large parties. It overlooks the big kids playground, which is sand base. It unfortunately doesn't overlook the tot playground which is sand and rubber based. There are a number of other picnic tables & BBQ pits throughout the park that, while smaller, have better vantages to the playground.",N,Playgrounds,,N,Y,,N,Y,N,sand,N,Y,Y,Y,Y,Y,Y,N
PLA109,Heritage Park,300 Homer Ave,Palo Alto,CA,94301,650 496 6962,,,N,Playgrounds,,N,N,,N,Y,N,mulch,N,Y,Y,Y,Y,N,N,N
PLA11,Avalon Park,Dorado Way and Alta Vista Dr,South San Francisco,CA,94080,650 829 3800,,,N,Playgrounds,,Y,Y,,N,Y,N,rubber,N,N,N,Y,Y,Y,Y,N
