Place ID,Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category,Subcategory,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Open,Sunday Open,Sunday Close,Parking,Restroom,Change table,Stroller friendly,Snugabug Pick
SEA1,Bacchini's Fruit Tree,2010 Walnut Blvd,Brentwood,CA,94513,(925) 634-3645,www.brentwoodfruit.com,"Bacchini's Fruit Tree is a family operated Picked and U-Pick fruit stand growing premium quality fruits since 1945.  Careful planning and many years of experience went into the design of the Orchard to allow for ladder free picking with extra low limbs for safety and to let everyone reach their own fruits. They are located in beautiful Brentwood, California just 60 miles east of San Francisco. Each year they are open during May & June to offer their fresh fruit, for you to pick! The orchard is great fun place for kids. There are plenty of parking spots as well as many trees for cherry picking. The peaches and apricots are delicious. Come early to beat the crowd.",Y,Seasonal,Fruit Picking,,,,,,8,17,8,17,8,17,8,17,8,17,8,17,8,17,Y,N,,N,N
SEA2,Peter Wolfe Ranch,700 Creek Rd,Brentwood,CA,94513,(925) 634-1308,www.peterwolfe.com,"Established in 1936 by Lynn & Ruth Wolfe the Peter Wolfe Ranch produces some of the finest fresh California fruit from the Brentwood District. They are located in Eastern Contra Costa County, about a 40 minute drive from the East Bay. They grow a variety of product including: Apricots, Peaches, Cherries, Citrus, Plums, Tomatoes and Loquats. They offer u-pick of both cherries and peaches. Consult their web or call for exact dates.",Y,Seasonal,Fruit Picking,,,,,,,,,,,,,,,,,,,,Y,N,,N,N
SEA3,Canciamilla Ranch,401 Eureka Avenue,Brentwood,CA,94513,925-634-5123,http://canciamillaranch.com/,"The Canciamilla Ranch was established in 1982 and is one of the smallest you-pick fruit orchards in Brentwood. They carry various varieties throughout the year, which include: Peaches, Yellow and white Nectarines and plums. They also have homemade jam, made from our fresh produce, straight off the trees, as well as dried nectarines, dried plums and walnuts. They are open daily May thru July. They have some chickens, roosters, geese, that kids could have fun watching.  ",Y,Seasonal,Fruit Picking,,,,,,9,18,9,18,9,18,9,18,9,18,9,18,9,18,Y,N,,N,N
SEA4,DC's Extraordinary Cherries,Marsh Creek Road,Brentwood,CA,94513,(925) 516-4495,,"DC's Extraordinary Cherries is a cherry farm in Brentwood.  Unique European style planting resulting in low trees makes it easy for even toddlers to pick cherries off the tree.  There are a wide variety of different cherries and it’s fun to taste all the different varieties as you're picking them.  Pick up a bucket at the entrance and start picking.   Portable toilets aren't particularly pleasant, so either put little ones in diapers or make sure you stop at a gas station before you arrive at the farm. Open Every Day including Memorial Day, 8:00 am to 5 pm during season. - See more at: http://www.farmsnear.me/u-pick/CA/DC's%20Extraordinary%20Cherries/#sthash.IHeql6k6.dpuf",Y,Seasonal,Fruit Picking,,Cherry,,,,,,,,,,,,,,,,,,Y,N,,N,Y
SEA5,The Farmer's Daughter Produce,Walnut Blvd,Brentwood,CA,94513,(925) 634-4827,farmersdaughter.farmvisit.com,"The Farmer's Daughter Produce is a Produce Stand with a Pesticide Free U-Pick orchard. Fresh Picked at the Produce Stand is a wide variety of local fruits and vegetables, including Brentwood’s Vine Ripe Tomatoes, Fresh Beans, Cherries, Berries, Melons, Pears, freshly baked pies, Local Honey, Dried Fruits and Nut & Olive Oil plus more. They have 2 large shady picnic areas for their customers. You can also pick your own fruits. They open in late May with White Peaches; early June for Apricots;  mid-June for Freestone Peaches also Clingstone Peaches, White Nectarines, Plums, Apples, and Yellow Nectarines. They also provide Farm U-Pick Tours and Kids Farm Education Programs and Farm Picnic for large groups on the weekdays. Please phone 2 weeks in advance to make reservations. ",Y,Seasonal,Stores,,,,,,,,,,,,,,,,,,,,Y,N,,N,N
SEA6,Gursky Ranch Country Store,1921 Apricot Way,Brentwood,CA,94513,(925) 634-4913,gurskyranch.com," The Gursky Ranch Country Store has been an integral part of the Brentwood community for more than 30 years. From its beginnings as a seasonal fruit stand, the store has grown in the past decades, becoming a year-round haven for dried fruits and nuts, specialty soups, sauces and more than 390 other gourmet food items. U-Pick walnuts is offered mid Oct to mid Nov. There is no U-Pick fruit. ",Y,Seasonal,Stores,,,,,,,,10,17,10,17,10,17,10,17,10,17,10,17,Y,N,,N,N
SEA7,Pease Ranch ,25081 Marsh Creek Rd,Brentwood,CA,94513,(925) 634-4646,www.peaseranch.com,"Pease Ranch has been family owned and operated since 1983.They are exclusively a YOU-PICK Ranch and have a large selection of cherries including Bing, White Rainier, Chinook, Early Burlats, Coral Champagnes, and vans just to name a few of our cherries. If berries are what you are after, you can U-pick Boysenberries, Olallieberries, Blackberries, and Loganberries. All their trees have been pruned and kept low to the ground for convenient picking even for the little ones. They also have a small picnic area which fills up quickly and is on a first come first serve basis. They are open starting May every Thursday, Friday and Saturday:  8am to 5pm and Sunday: 8am to 4pm.",Y,Seasonal,Fruit Picking,,,,,,,,,,,,8,17,8,17,8,17,8,16,Y,N,,N,Y
SEA8,Pomeroy Farms,22501 Marsh Creek Road,Brentwood,CA,94513,(925) 634-7712,www.pomeroyfarm.com,"Pomeroy Farms in Brentwood, California, was established in 1927. In the 1990s some of the old walnut trees were replaced with the fruit trees that are there today. They offer a variety of cherries including Bing, White Rainier, and Brooks cherries.  In addition, they have great peaches, nectarines and apricots.  At each of the farms they also offer fresh picked walnuts that are shelled and packaged all come from their various orchards. One of the great things about coming to the orchard for u-pick is the fun that families have.  Kids love running around in the orchards and families love taking home the fresh fruit. Get the latest updates on when u-pick is open at the various orchards by calling 925-634-7712.",Y,Seasonal,Fruit Picking,,,,,,,,,,,,,,,,,,,,Y,N,,N,N
SEA9,Smith Family Farm,4400 Sellers Ave,Brentwood,CA,94513,(925) 625-5966,http://jkdevera2.wix.com/smithfamilyfarm,"Smith Family Farm offers something for every season. During spring you can pick cherries and peaches, nectarines and apricots. In the summer you can find dozens of varieties of tomato and the last of the picks of peach, nectarine and plum. Their stand also boasts a wide selection of peppers, eggplant, zucchini, fresh herbs, strawberries, fresh flowers and much more. The stands stay open during the fall and winter when they offer apples, persimmons, winter squash and cruciferous greens such as broccoli, cauliflower, cabbage, swiss chard and collard greens. They also grow dozens of varieties of heirloom pumpkins. The Pumpkin Harvest is much more than just a pumpkin patch. Included in the admission fee are live music performances, encounters with farm animals, an observation beehive, a herb garden where you can make a bouquet to take home, a replica Native American village and a natural atmosphere you could only find on a real working farm. The mile-long hayride takes visitors to the pumpkin patch, where each visitor gets their own pumpkin of any size. These pumpkins are free with admission, with additional pumpkins for sale at our fruit stand daily.",Y,Seasonal,Fruit Picking,,Pumpkin Harvest,Christmas Trees,,,,,,,,,,,,,,,,,Y,N,,N,Y
SEA10,Freitas Cherry Ranch,555 Hoffman Ln,Brentwood,CA,94513,(925) 634-5461,http://www.freitascherryranch.com/,"Freitas Cherry Ranch features the extremely dark and sweet Coral Champagne cherries being open to the public for U-Picking. As the orchards are still young, they have many low branches for the younger pickers as well as ladders available to reach to the highest branches. The Range is closed for you pick in 2015 and will reopen next year.  ",Y,Seasonal,Fruit Picking,,,,,,,,,,,,,,,,8,17,8,17,Y,N,,N,N
