Place ID,Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category,Subcategory,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Close,Sunday Open,Sunday Close,Parking,Restroom,Change table,Stroller friendly,Snugabug Pick
STO2,A Child’s Delight - Corte Madera,105 Town Center,Corte Madera,CA,94123,(415) 945-9221,http://www.achildsdelight.com/,"A Child’s Delight is a family owned, that offer toys that are fun, educational, and sturdy and promote imaginary play. Great customer service providing exceptional and personalized service. Toys include trains, arts & crafts, dolls, books, games and more. ",N,Stores,Toy stores,Toys,,,,,10,20,10,20,10,20,10,20,10,20,10,18,11,18,Y,Y,,N,Y
STO3,A Child’s Delight - San Francisco,3301 Fillmore St,San Francisco,CA,94123,(415) 440-1941,http://www.achildsdelight.com/,"A Child’s Delight is a family owned, that offer toys that are fun, educational, and sturdy and promote imaginary play. Great customer service providing exceptional and personalized service. Toys include trains, arts & crafts, dolls, books, games and more. ",N,Stores,Toy stores,Toys,,,,,10,18,10,18,10,18,10,18,10,18,10,18,11,18,N,N,,N,N
STO4,A Child’s Delight - San Rafael,190 Northgate One,San Rafael,CA,94123,(415) 440-1941,http://www.achildsdelight.com/,"A Child’s Delight is a family owned, that offer toys that are fun, educational, and sturdy and promote imaginary play. Great customer service providing exceptional and personalized service. Toys include trains, arts & crafts, dolls, books, games and more. ",N,Stores,Toy stores,Toys,,,,,10,18,10,18,10,18,10,18,10,18,10,18,11,18,Y,N,,N,N
STO5,Adventure Toys & Teachers’ Supplies,173 Main St,Los Altos,CA,94022,(650) 941-6043,http://adventuretoyslosaltos.com/,"Adventure Toys & Teachers’ Supplies is a family run independent toy store in downtown Los Altos California. Founded on being an educationally oriented store, offering specialty toys and creative products, Adventure Toys offers something for everyone whether a gift for a baby shower, a hard to shop for early teen and even games & puzzles for adults of all ages. Customer service is taken very seriously at Adventure Toys with unexpected services such as shop by phone, curbside pickup and even personal shopping! ",N,Stores,Toy stores,Toys,,,,,10,18,10,18,10,18,10,18,10,18,10,18,11,16,Y,N,,N,N
STO6,Affordable Treasures,15795 Los Gatos Blvd,Los Gatos,CA,95032,(408) 356-3101,http://affordabletreasures.com/,"Affordable Treasures is a local family-owned business with a huge selection of art and craft materials, a great selection of games, toys, stuffed animals and all you need for your next party including an incredible assortment of latex and mylar balloons. Lots of parking available in the back lot.",N,Stores,Toy stores,Party Supplies,Toys,,,,9,19,9,19,9,19,9,19,9,19,9,18,9,18,Y,N,,N,Y
STO7,Aldea Baby,1017 Valencia St,San Francisco,CA,94110,(415) 874-9520,http://aldeababy.com/,"Aldea means ""small village,"" and whether you set foot in their San Francisco store or browse the website, it's easy to understand why. They believe the little people in the village are just as important as the big ones. They offer clothing, toys, furnishings and gifts that are every bit as artful as they are playful. They have unique offerings of baby products and gifts, and are committed to locally crafted and eco-friendly options for babies, toddlers, and kids.",N,Stores,Toy stores,Toys,,,,,10,18,10,18,10,18,10,18,10,18,10,18,10,18,N,N,,N,N
STO8,Ambassador Toys,2 Embarcadero Ctr,San Francisco,CA,94111,(415) 345-8697,http://www.ambassadortoys.com/,"Ambassador Toys has been carrying a wide selection of toys, art supplies, and educational products from around the world that have won praise from leading media publications, industry award shows as well as parents, teachers and kids everywhere. Their toys are carefully chosen to meet the high standards of durability and safety that the Ambassador Toy brand has become known for. Recently named the Best Toy Store You Wish Had Been Around When You Were a Kid by the Guardian’s 25th Anniversary edition and nominated by the Toy Industry of America as one of the five best specialty toy stores in the United States.",N,Stores,Toy stores,Toys,Art supplies,,,,10,19,10,19,10,19,10,19,10,19,10,18,11,18,Y,Y,,N,N
STO9,Ambassador Toys,186 W Portal Ave,San Francisco,CA,94127,(415) 759-8697,http://www.ambassadortoys.com/,"Ambassador Toys has been carrying a wide selection of toys, art supplies, and educational products from around the world that have won praise from leading media publications, industry award shows as well as parents, teachers and kids everywhere. Their toys are carefully chosen to meet the high standards of durability and safety that the Ambassador Toy brand has become known for. Recently named the Best Toy Store You Wish Had Been Around When You Were a Kid by the Guardian’s 25th Anniversary edition and nominated by the Toy Industry of America as one of the five best specialty toy stores in the United States.",N,Stores,Toy stores,Toys,Art supplies,,,,10,19,10,19,10,19,10,19,10,19,10,19,10,19,N,N,,N,N
STO10,Ambassador Toys,"855 El Camino Real, Ste 33",Palo Alto,CA,94301,(650) 324-8697,http://www.ambassadortoys.com/,"Ambassador Toys has been carrying a wide selection of toys, art supplies, and educational products from around the world that have won praise from leading media publications, industry award shows as well as parents, teachers and kids everywhere. Their toys are carefully chosen to meet the high standards of durability and safety that the Ambassador Toy brand has become known for. Recently named the Best Toy Store You Wish Had Been Around When You Were a Kid by the Guardian’s 25th Anniversary edition and nominated by the Toy Industry of America as one of the five best specialty toy stores in the United States.",N,Stores,Toy stores,Toys,Art supplies,,,,10,19,10,19,10,19,10,19,10,19,10,19,10,19,Y,Y,,N,N
STO11,American Girl,660 Stanford Shopping Center,Palo Alto,CA,94304,(877) 247-5223,http://www.americangirl.com/retailstore/san-francisco,"America Girl offers lovely displays, highlighting everything from historical and contemporary dolls to award-winning books to accessories for every interest. Their shops feature characters—from BeForever™, Truly Me™, and Girl of the Year™ for girls ages 8 and up, to Bitty Baby™ and the Bitty Twins™ for little ones. You can explore outfits, accessories, and furniture that help make every doll's world complete. Don't forget to browse the bookstore with titles that open up girls' imaginations. ",N,Stores,Toy stores,Toys,,,,,10,20,10,20,10,20,10,20,10,21,10,19,11,18,Y,Y,,N,N
