Place ID,Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category,Subcategory,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Open,Sunday Open,Sunday Close,Parking,Restroom,Change table,Stroller friendly,Snugabug Picks
TOU2,Fortune Cookie Factory - Oakland,261 12th Street,Oakland,CA,94607,(510) 832 5552,http://www.fcf-limited.com/tours.html,"Curious how fortune cookies are made? The Fortune Cookie Factory of Oakland California produces over 100,000 cookies a day and hosts tours of the factory with yummy samples to taste. See the machines in action. Watch as the batter mixture is injected into a fascinating machine then rotate through an oven and comes out the other end as ""pancake griddles"". These are then quickly picked up, message (or your personal message) inserted and folded then placed in a ""cooling rack"".
",Y,Tours,Factory tours,1 and up,,,,,10,15,10,15,10,15,10,15,,,,,,,N,N,,N,N
TOU3,Golden Gate Fortune Cookie Company,56 Ross Alley,San Francisco,CA,94108,(415) 781-3956,http://www.sanfranciscochinatown.com/attractions/ggfortunecookie.html,"Good for a short stop if you are visiting Chinatown. See fortune cookies made right in front of you and taste some freshly made, still warm, fortune cookies. Very cramped quarters and can get crowded.",N,Tours,Factory tours,1 and up,,,,,8,18,8,18,8,18,8,18,8,18,8,18,8,18,N,N,,N,N
TOU4,Jelly Belly Factory Tour,1 Jelly Belly Ln,Fairfield,CA,94534,(707) 428-2838,http://www.jellybelly.com/california-factory-tours,"Step into our factory and smell the aroma of chocolate, peach, cinnamon, pineapple, or whatever is being cooked up that day. During the 40-minute walking tour, Jelly Belly tour guides will show you a real working factory where they cook up over 150 different sweet treats. Learn the secrets to the legendary Jelly Belly jelly bean and discover why it takes more than a week to make a single bean. The factory is located about an hour's drive north of San Francisco, and 45 minutes west of Sacramento. 
",N,Tours,Factory tours,2 and up,,,,,9,17,9,17,9,17,9,17,9,17,9,17,9,17,Y,Y,,N,N
TOU5,Levi Stadium,4900 Marie P. DeBartolo Way,Santa Clara,CA,95054,(415) 464-9377,www.levisstadium.com/tours/public-tours,"Levi’s® Stadium is home to the San Francisco 49ers. Public tours are held everyday during normal business hours, excluding event days and last approximately 90 minutes. Destinations include Seating Bowl, Champions Club, Verizon Press Level, NRG Solar Terrace, Locker Room, BNY Mellon West Club, Field Level, and Cheerleaders Locker Room. Ticket include access to the 49ers Museum and are for sale through TicketMaster. ",Y,Tours,Sport tours,3 and up,,,,,10,18,10,18,10,18,10,18,10,18,10,18,10,17,Y,Y,,N,N
TOU6,Mrs Grossman's Stickers,3810 Cypress Drive,Petaluma,CA,94954,(707) 763-1700,http://mrsgrossmans.com/pages/tour-the-factory,"You’ll get up-close and personal as you watch thousands and thousands of Mrs. Grossman’s stickers and elegant labels being printed, die-cut and perforated. Walk right on the factory floor. Reservations are required. Finish up at the Company store where stick lovers will be in paradise. 
",Y,Tours,Factory tours,2 and up,,,,,10,14,10,14,10,14,10,14,,,,,,,Y,Y,,N,Y
TOU7,Oakdale Cheese & Specialties,10040 CA-120,Oakdale,CA,95361,(209) 848-3139,www.oakdalecheese.com,"Take a break and join us Oakdale Cheese at their beautiful, tranquil grounds nestled in rural Oakdale.  Meet cheesemakers, watch cheese being made and enjoy handcrafted cheese, wine and gourmet specialties under the willow trees. Satisfy a sweet tooth with treats from the bakery and savor a delicious lunch.  Adults and kids will enjoy Mocha, the llama, and the rest of the farm animals.",N,Tours,Food tours,1 and up,,,,,9,18,9,18,9,18,9,18,9,18,9,18,9,18,Y,Y,,Y,Y
TOU8,San Francisco Fire Engine Tours,650 Beach St,San Francisco,CA,94133,(415) 333-7077,www.fireenginetours.com,"Experience San Francisco and its iconic sights on board a vintage fire truck. On the 75-minute excursion you will start out from Fisherman’s Wharf and then travel the city’s streets, across the Golden Gate Bridge and to the village of Sausalito across the Bay. Stop for photos at Fort Baker and then cross back over the Golden Gate Bridge, making your way through the lovely Union Street neighborhood and return to your starting point at the Cannery. Advance reservations by telephone or e-mail is necessary as seating is limited. Tours leave daily at: 9:00am, 11:00am, 1:00pm, and 3:00pm and are $50 for adults, $40 for children 13-17, $30 for children 12 and under. ",Y,Tours,Sightseeing tours,2 and up,,,,,,,,,,,,,,,,,,,N,N,,N,N
TOU9,San Francisco Duck Tours,2766 Taylor St,San Francisco,CA,94133,(877) 887-8225,http://sanfrancisco.ridetheducks.com/,"Experience San Francisco sightseeing from a duck's eye view on the San Francisco Duck Tour. Travel on land and water in an amphibious vehicle crafted from the WW II DUKW. Ride through San Francisco's historic streets and neighborhoods, splash down into San Francisco Bay and cruise McCovey Cove. With onboard entertainment, local stories and the chance to drive the duck, this tour has something for the whole family!",Y,Tours,Sightseeing tours,0 and up,,,,,,,,,,,,,,,,,,,N,N,,N,N
TOU10,Dandelion Chocolate,740 Valencia Street,San Francisco,CA,94110,(415) 349-0942,http://www.dandelionchocolate.com/,"There is a small chocolate cafe in front of the factory where you can sip a hot chocolate and watch the chocolate making happen. They make chocolate every day except Sunday, until about 6pm, with a break for lunch. There are lots of classes including a Children's Chocolate Exploration for 7-12 year olds. There are free factory tours but it's difficult to get a reservation, and children have to be at least 5. Book online. ",N,Tours,Stores,5 and up,,,,,10,21,10,21,10,21,10,21,10,22,10,22,10,21,N,Y,,N,N
TOU11,San Francisco Whale Tours,Fisherman's Wharf,San Francisco,CA,94133,(415) 706-7364,sanfranciscowhaletours.com,"Year round whale watching tours to the Island Farallon Island off the coast of San Francisco. Whale watching and natural history tours are 6 hours and $99 per adult/$80 per child or just whale watching tours at 5 hours and $79 per adult/$60 per child. Children under 3 years of age are not allowed to attend the cruise for safety reasons. 
",Y,Tours,Sightseeing tours,3 and up,,,,,,,,,,,,,,,,,,,N,Y,,N,N
