Place ID,Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category / Type,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Open,Sunday Open,Sunday Close,Parking,Restroom,Change table,Stroller friendly,Snugabug Picks,Photos
TRA1,Blackhawk Automotive Museum,3700 Blackhawk Plaza Cir,Danville,CA,94506,(925) 736-2277,www.blackhawkmuseum.org,"The Blackhawk Museum is located in the Bay Area's Tri-Valley on the eastern side of the San Francisco Bay Hills and is best known for its significant collection of classic, rare and unique automobiles. The museum houses about ninety classic cars. It also houses a display showcasing the work of the Wheelchair Foundation. One of the museum's most unusual features is a 1924 Hispano-Suiza H6C.  Over the years, the museum has also housed a 1962 John F. Kennedy limousine and a Chinese Hongqi, the first Chinese made automobile to be imported to the United States.",Y,Museum,0 and up,Wheelchair-accessible,Classic cars,Public Tours,,,,,,10,17,10,17,10,17,10,17,10,17,Y,Y,,Y,,Y
TRA2,Roaring Camp & Big Trees Narrow-Gauge Railroad,5401 Graham Hill Rd,Felton,CA,95018,(831) 335-4484,http://www.roaringcamp.com/,"The Roaring Camp & Big Trees Railroad is a narrow gauge tourist railroad in California that starts from the Roaring Camp depot in Felton, and runs up steep grades, through a redwood forest, to the top of nearby Bear Mountain, a distance of 3.25 miles (5.23 km). The cars are open, so one can look up to the sky and marvel at the tall trees as the engine chugs to the top of Bear Mountain. The steam engines date from the 1890s, and are the oldest and most authentically preserved narrow gauge steam engines still providing regular passenger service in the United States. ",Y,Train Rides,2 and up,Roaring Camp Railroads,BBQ,hikes,Picnic,9:30,17,9:30,17,9:30,17,9:30,17,9:30,17,9:30,17,9:30,17,Y,Y,,Y,Y,Y
TRA3,Santa Cruz Big trees and Pacific Railway,5401 Graham Hill Rd,Felton,CA,95018,(831) 335-4484,http://www.roaringcamp.com/,"The Santa Cruz Big Trees & Pacific Railway operates passenger and freight services on one of the oldest and most historic lines in California. Departing from the Santa Cruz Mountains, travel through Henry Cowell Redwoods State Park, down the scenic San Lorenzo River Gorge, across a 1909 steel truss bridge and through an 1875 tunnel before arriving at the Santa Cruz Beach Boardwalk. When the route opened in 1875 it carried lumber as well as picnickers and tourists to the Big Trees and Santa Cruz. Today's Beach Train passengers can start their roundtrip journeys from either Roaring Camp in Felton or from the beach in Santa Cruz.",Y,Train Rides,2 and up,Roaring Camp Railroads,BBQ,hikes,Picnic,9:30,17,9:30,17,9:30,17,9:30,17,9:30,17,9:30,17,9:30,17,Y,Y,,Y,,Y
TRA4,Horse Drawn Railroad at Ardenwood Historic Farm,34600 Ardenwood Blvd,Fremont,CA,94555, (510) 544-2797,http://www.ebparks.org/parks/ardenwood,"A visit to Ardenwood is a journey back to the time of the 1850s Patterson Ranch. The farm still grows the same kind of produce that was grown in the region in the last 100 years, utilizing agricultural practices from the 1870s to the present, demonstrating the transition from horse-powered to horsepower farming. The interpretive staff and volunteers, attired in Victorian clothing, guide guests through the Victorian house, demonstrate farm chores, and explain what life was like in the early 1900s. ",Y,Farm,2 and up,House tours,,,,,,10,17,10,17,10,17,10,17,10,17,10,17,Y,Y,Y,Y,,Y
TRA5,Billy Jones Wildcat Railroad,233 Blossom Hill Rd,Los Gatos,CA,95032,(408) 395-7433,bjwrr.org,"The Billy Jones Wildcat Railroad operates in Oak Meadow Park with the cooperation of the Town of Los Gatos, and in Vasona Park with the cooperation of the Santa Clara County Parks and Recreation Department. Both the railroad and W.E. Mason Carousel exist as a legacy of Billy Jones and as a means to preserve history and educate the public. Today, you can ride the 2-Spot on just about any spring or summer day. Times subject to change see website for full times schedule.",Y,,0 and up,Train rides,merry go round,,,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,Y,Y,,Y,Y,Y
TRA6,Napa Valley Wine Train,1275 McKinstry St,Napa,CA,94559,(707) 253-2111,winetrain.com,"The Napa Valley Wine Train provides a relaxing three-hour, thirty-six mile round-trip journey from the historic town of Napa, through one of the world's most well known wine valleys to the quaint village of St. Helena, and back. Guests aboard the Wine Train enjoy a freshly prepared lunch or dinner inside a fully restored 1915-1917 Pullman Dining Car or 1952 Vista Dome car as they pass the vineyards and wineries of Napa Valley. They also have the option of pre-purchasing a winery tour.",Y,,0 and up,,,,,,,,,,,,,,,,,,,Y,Y,N,N,,Y
TRA7,Oakland Zoo Outback Express Adventure Train ,9777 Golf Links Rd,Oakland,CA,94605,(510) 632-9525,www.oaklandzoo.org/,"Go ‘Down Under’ in this Australian themed exhibit. Just sit back, relax, and enjoy a tour of Wild Australia, featuring emus and wallaroos.",Y,Zoo,0 and up,Picnic,Animal Feedings,Train,Camps,10,16,10,16,10,16,10,16,10,16,10,16,10,16,Y,Y,Y,Y,,Y
TRA8,Oakland Aviation Museum,8252 Earhart Rd,Oakland,CA,94621,(510) 638-7100,www.oaklandaviationmuseum.org,"Oakland Aviation Museum, formerly called Western Aerospace Museum, was founded in 1981 and is located at North Field of Oakland International Airport in Oakland, California. It has over 30 vintage and modern airplanes, both civilian and military, and other displays that highlight noted aviators and innovators.",Y,Museum,6 and up,Tours,Plane,Western Aerospace Museum,,,,,,10,16,10,16,10,16,10,16,10,16,,Y,,Y,,Y
TRA9,Golden Gate Live Steamers Club,Golden Gate Live Steamers,Orinda,CA,94563,(510) 486-0623,www.goldengatels.org,"Located in Tilden Park in the hills above Berkeley, the Golden Gate Live Steamers is a miniature train club. They run real working steam locomotive every Sunday from Noon to 3:00 pm depending on the staffing & weather, giving a great tour of the facilities and of the wonderful view of the greenery in Tilden Park. They strive to expand the growth on the live steam hobby for generations to come.   ",N,Park,3 and up,Train rides,,,,,,,,,,,,,,,,12,15,Y,Y,,Y,,Y
TRA10,Little Train - Redwood Valley Rail Corp.,Lomas Cantadas,Orinda,CA,94563,510-548-6100,www.redwoodvalleyrailway.com,"The Redwood Valley Railway is a miniature railway in Tilden Regional Park near Berkeley, California. It was established in 1952 by Erich Thomsen, and has expanded to 1.25 miles of track and over 160,000 passengers a year. The railroad uses 5"" scale model live steam locomotives. The models of both the train and the locomotives are very exact in their detail and pleasing to the eye. The line is real track, the running sheds are good replicas of their prototype. They even have an operating water tower along the line.",Y,,2 and up,Train,,,,11,17,11,17,11,17,11,17,11,17,11,18,11,18,Y,Y,,Y,,Y
TRA11,Golden State Model Railroad Museum,810-900 Dornan Dr,Richmond,CA,94801,(510) 234-4884,www.gsmrm.org,"The Golden State Model Railroad Museum is an operating model railroad exhibit located in Point Richmond, California. It features dozens of realistic city and country scenes, with trains from different eras running on several layouts in different scales. It is on the US National Register of Historic Places.The Museum operates models ranging from the steam engines and classic passenger trains to today's modern diesel behemoths and Amtrak passenger trains. Track layouts include historic scenes such as the Oakland Mole, Oakland 16th Street stations ca. 1955, Martinez' John Muir trestle, Tehachapi Loop, Niles Canyon, and Donner Pass.",Y,Museum,0 and up,Train,Picnic,,,,,,,,,,,,,12,17,12,17,,Y,,Y,,Y
TRA12,California State Railroad Museum,125 I St,Sacramento,CA,95814,(916) 445-7387,http://www.csrmf.org/,"Located in Old Sacramento, the California State Railroad Museum is a complex of historic facilities and unique attractions. First opened to the public in 1976, the complex consists of six original, reconstructed, and new buildings. With over 225,000 square feet of total exhibit space, the buildings use stimulating exhibits, enthusiastic and knowledgeable docents, and beautifully restored railroad cars and locomotives to illustrate railroad history in California and the West. ",Y,Museum,0 and up,Train Rides,Story Time,,,10,17,10,17,10,17,10,17,10,17,10,17,10,17,Y,Y,,Y,,Y
TRA13,Hiller Aviation Museum,601 Skyway Rd,San Carlos,CA,94070,(650) 654-0200,www.hiller.org,"The Hiller Aviation Museum, located in San Carlos, California, USA at the San Carlos Airport, is an aircraft history museum. The museum was founded by Stanley Hiller, Jr., in June 1998 and is endowed by members of the Hiller Family. It specializes in Northern California aircraft history and helicopter history. The museum is also an affiliate within the Smithsonian Affiliations program. This museum has more than 45 aerospace vehicles along with companion descriptive displays concerning the history of flight.",Y,Museum,4 and up,,,,,10,17,10,17,10,17,10,17,10,17,10,17,10,17,Y,Y,,Y,Y,Y
TRA14,Hyde St. Pier,Hyde Street & Jefferson Street,San Francisco,CA,94109,,,"The Hyde Street Pier is a popular San Francisco tourist attraction in the Fisherman’s Wharf neighborhood. The pier was originally built in 1922 for car ferries. These ferries shuttled passengers back and forth between San Francisco and Marin County. Today, it's a floating museum that houses several ships. Five of the vessels on the pier are officially National Historic Landmarks. ",,,3 and up,Train,,,,,,,,,,,,,,,,,,,Y,,Y,,Y
TRA15,Little Puffer at San Francisco Zoo,Sloat Blvd. at the Great Highway,San Francisco,CA,94132,(415) 753-7080,www.sfzoo.org,"The Little Puffer Steam Train, San Francisco Zoo is a historic miniature steam train. When you see the Little Puffer today, you'd never guess that this fully functional, pristine miniature steam train is pushing 100 years of age. It is one of only three remaining 22-inch gauge engines left in the world. Little Puffer is an integral part of the San Francisco Zoo’s history and an important part of the Zoo today.",Y,Zoo,0 and up,Petting Zoo,Dentzel Carousel,Steam Train,Playground,10,17,10,17,10,17,10,17,10,17,10,17,10,17,Y,Y,Y,Y,,Y
TRA16,Cable Car Museum,1201 Mason St,San Francisco,CA,94108,(415) 474-1887,http://www.cablecarmuseum.org/,"The Cable Car Heritage is located in the Washington-Mason powerhouse and car barn on Nob Hill. The museum deck overlooks the huge engines and winding wheels that pull the cables. Downstairs is a viewing area of the large sheaves and cable line entering the building through the channel under the street. On display are various mechanical devices such as grips, track, cable, brake mechanisms, tools, detailed models, and a large collection of historic photographs.",9,Museum,3 and up,Train,,,,10,18,10,18,10,18,10,18,10,18,10,18,10,18,,Y,,Y,Y,Y
