Place ID,Name,Address,City,State,Zip,Phone,URL,Description,Type,Picnic,Family Friendly,Requires Reservations,Tasting Fee,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Open,Sunday Open,Sunday Close,Photos,Snugabug Pick
WIN2,Chateau Montelena Winery,1429 Tubbs Lane,Calistoga,CA,94515,(707) 942-5105,www.montelena.com,"Chateau Montelena is a Napa Valley winery most famous for winning the white wine section of the historic ""Judgement of Paris"" wine competition. Chateau Montelena's Chardonnay was in competition with nine other wines from France and California under blind tasting. All 11 judges awarded their top scores to either the Chardonnays from Chateau Montelena or Chalone Winery, another California wine producer. The castle is quite beautiful as are the grounds leading up to the door. Nice place for children to walk around.",Wineries,Y,Y,Y,Y,9:30,16,9:30,16,9:30,16,9:30,16,9:30,16,9:30,16,9:30,16,Y,
WIN3,Tamber Bey Vineyards,1251 Tubbs Lane,Calistoga,CA,94515,(707) 942-2100,www.tamberbey.com,"Tamber Bey Winery is located at the Sundance Ranch, a world-class equestrian facility dedicated to training top performance horses. The tasting room is located in the original barn clubhouse, and the barn surrounds the courtyard, where guests can taste wine, mingle with the horses, and enjoy views of Mount St. Helena. There are no vineyards to tour here because their vineyards are over near Yountville. But the grounds are lovely and the atmosphere is relaxed. They offer box lunches for purchase that you can enjoy after the wine tasting.",Wineries,Y,Y,Y,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,Y,
WIN4,Lava Vine,965 Silverado Trail,Calistoga,CA,94515,(707) 942-9500,www.lavavine.com,"Lava wine creates wines in small production, usually about 100 to 150 cases per vintage. Their Knights Valley Estate accounts for 50% of the grapes including Petite Sirah, Cabernet Sauvignon, and the Portuguese varietals use in the Dessert wine. Other grapes such as Viognier, Chardonnay, and Grenache are grown in nearby areas better suited to their varietal needs.  They even have picnic tables so you can bring your own food in and enjoy it with your tasting. Children are welcome as well.",Wineries,Y,Y,Y,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,Y,Y
WIN5,Paoletti Vineyards,4501 Silverado Trail,Calistoga,CA,94515,(707) 942-0689,http://www.paolettivineyards.com/,"Paoletti Estates Winery is located in Calistoga, an ideal location for making great reds. They have 36 acres planted and grow all the grapes necessary for making premium Bordeaux blends and Super Tuscan blends. The tasting area is set off only a few feet from where the production is happening, so you can see everything in progress.  There is a really nice picnic area overlooking a manmade pond and a breathtaking view.",Wineries,Y,Y,Y,Y,,,,,,,,,11,17,11,17,11,16,Y,
WIN6,Clos Pegase Winery,1060 Dunaweal Lane,Calistoga,CA,94515,(707) 942-4981,www.clospegase.com/,"Just down the road from the town of Calistoga, Clos Pegase sits on an amazing piece of ground. It was design by acclaimed architect Michael Graves in 1987 and includes the iconic building, the idyllic grounds, and unique caves. The winery is surrounded by the Applebone Vineyard, one of four of the estate vineyards which together total 450 acres throughout Napa Valley. The estate is peaceful, and the perfect place to spend a casually afternoon. ",Wineries,Y,Y,Y,Y,11,17,11,17,11,17,11,17,11,17,11,17,11,17,Y,
WIN7,Jericho Canyon Vineyard,3322 Old Toll Road,Calistoga,CA,94515,(707) 942-9665,www.jerichocanyonvineyard.com,"Jericho Canyon Vineyard was built on a beautiful cattle ranch at the northeast end of Napa Valley outside of Calistoga. Their wines are made in the Bordeaux style. Hand-crafted in small lots, the juice is blended to create a full-bodied, complex wine with well-balanced tannins. The winery is a state of the art redwood structure that leads to a 6,000 square foot cave where the barrels are ageing. ",Wineries,Y,Y,Y,Y,,,,,,,,,,,,,,,Y,REQUIRES RESERVATION TO VISIT
WIN8,Dutch Henry Winery,4310 Silverado Trail,Calistoga,CA,94515,(707) 942-5771,www.dutchhenry.com,"Dutch Henry Winery opened its doors in 1992. In 1999 Dutch Henry Winery was named one of the “top five” wineries to visit while in Napa by the Wall Street Journal. The winery specializes in small lots of Handcrafted wines producing 5,000 cases annually. Bordeaux varietals dominate, but they also produce Cabernet Sauvignon, Syrah, Pinot Noir, Zinfandel, Petite Sirah, Sauvignon Blanc, Argos (Bordeaux Blend) and a dry Rose. They have a big open land with lots of trees and ample picnic tables to dine at.",Wineries,Y,Y,N,Y,10,16:30,10,16:30,10,16:30,10,16:30,10,16:30,10,16:30,10,16:30,Y,
WIN9,Frank Family Vineyards,1091 Larkmead Lane,Calistoga,CA,94515,(800) 574-9463,www.frankfamilyvineyards.com,"Frank Family Vineyards are housed in the historic Larkmead winery in Napa Valley. The wines are handcrafted in small quantities and are only sold at the winery, and in a handful of select restaurants and retailers. Their tasting room is located just south of the town of Calistoga where they welcome visitors daily from 10:00 am to 5:00 pm. Groups of six or more require an appointment. You can bring some food buy a bottle of wine and enjoy a picnic outside on their picnic tables.",Wineries,Y,Y,Y,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,Y,
WIN10,Bennett Lane Winery,3340 Hwy. 128,Calistoga,CA,94515,(707) 942-6684,www.bennettlane.com,"Bennett Lane Winery is located at the north end of the Napa Valley, where the valley floor meets the edge of the Mayacamas Mountains. The winery consistently crafts superb Cabernet Sauvignon. Bennett Lane Winery is a relaxed and pleasant place to visit, just about two miles north of Calistoga. The winery has a scenic view, is pet-friendly and has an elegantly tasting bar. You can sip wine and have your picnic next to the vineyards. Barrel tastings is by appointment only. Picnic tables are available for use with a tasting or bottle purchase, but you need to bring your own food because none is sold here. ",Wineries,Y,Y,Y,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,Y,
WIN11,Helena View Johnston Vineyards,3500 Highway 128,Calistoga,CA,94515,(707) 815-2934,http://www.napavintners.com/vineyards/helena-view-johnston-vineyards/,Helena View Johnston Vineyards are located on the east side of Hwy 128 with a beautiful view of Mt. St. Helena about a mile from its base. They are an organic winery producing limited quantities of consistently award-winning complex Bordeaux style reds handcrafted solely from grapes grown in Napa Valley. Picnic facilities and a playground for children are available. Tours and tastings by appointment.,Wineries,Y,Y,Y,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,N,
WIN12,Summers Estate Wines,1171 Tubbs Lane,Calistoga,CA,94515,(707) 942-5508,www.summerswinery.com,"Summers Estate Wines are produced from their vineyard in Knights Valley located northwest of Calistoga, between Mount St. Helena and the Alexander Valley. The first production of Summers Ranch Reserve Merlot was the 1992 vintage. They now also produce the Petite Sirah and have an increased interest in Bordeaux varietals. Purchase a Summers Estate Bottle per couple and enjoy your Picnic Basket on their Patio with a view of Mount St. Helena.",Wineries,Y,Y,N,Y,10:30,17:30,10:30,17:30,10:30,17:30,10:30,17:30,10:30,17:30,10:30,17:30,10:30,17:30,Y,
WIN13,Von Strasser Winery,1510 Diamond Mountain Road,Calistoga,CA,94515,(707) 942-0930,www.vonstrasser.com,"Von Strasser Winery specializes in unique and single-vineyard wines, all grown within Napa Valley’s Diamond Mountain District appellation. As you drive up Diamond Mountain Road, you leave the valley floor behind and enter the beautiful setting of the winery where you can enjoy their world renowned cabs. During your visit you will learn about the winery and be able to taste and purchase unique, single-vineyard bottlings which are rarely available in the market place. Tables are present at the winery for tastings, but they cannot be used for picnics.",Wineries,Y,Y,Y,Y,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,Y,
WIN14,Castello di Amorosa,4045 St Helena Hwy,Calistoga,CA,94515,(707) 967-6272,www.castellodiamorosa.com,"Castello di Amorosa is an authentically-styled, 13th century, Tuscan castle and winery. The castle interiors, which include 107 rooms on 8 levels above and below ground, cover approximately 121,000 square feet (11,200 m2).  You can enjoy the castle and winery 364 day a year. With General Admission you can enjoy roaming access on two levels of the winery and a five wine premium or a six wine reserve tasting in the main tasting room. You can also reserve a guided tour followed by the wine tasting. Other options include the cheese and wine or the food and wine pairing. The castle is a fun way for a family with young children to experience Napa as you can explore the castle on our own.",Wineries,N,Y,N,Y,9:30,17,9:30,17,9:30,17,9:30,17,9:30,17,9:30,17,9:30,17,Y,
WIN15,Pelican Ranch Winery,100 Kennedy Dr,Capitola,CA,95010,(831) 426-6911,pelicanranch.com,"Pelican Ranch Winery is a small, family owned and operated winery specializing in Rhone and Burgundy style wines from the best vineyards in California. Established in 1997, the winery is located a short distance from Monterey Bay which provides the constant, cool, coastal influence that allows for controlled, slow fermentation. Production is limited to 100 cases from each vineyard. Tastings are on the 3rd Saturday of each month from 12:00 – 4:00 pm.",Wineries,N,Y,,,,,,,,,,,15,20,12,17,12,17,Y,
WIN16,Tudor Wines Tasting Room,Mission Between Ocean Ave & 7th,Carmel,CA,93921,(831) 224-2116,http://www.tudorwines.com/,"Turdo Vineyards is a family owned and run operation. In 1997, they began the quest and discovered Monterey County’s potential as top-flight winegrowing region. Its vast microclimates and terroir allow for over 40 different grape varieties but it was Pinot Noir they pursued. The 2000 Tudor Santa Lucia Highlands Pinot Noir was the inaugural release from Tudor Wines. ",Wineries,,Y,,,,,,,11:30,21:30,11:30,21:30,11:30,21:30,11:30,21:30,11:30,21:30,Y,CONTACT
WIN17,Mcintyre Vineyards Tasting Studio,169 Crossroads Blvd,Carmel,CA,93923,(831) 626-6268,www.mcintyrevineyards.com,"The McIntyre Estate Vineyard lies in the “sweet spot” of Monterey County’s Santa Lucia Highlands AVA, a 12-mile stretch of bench land renowned for producing wines of character and complexity. Originally planted in 1973, the 80-acre site boasts some of the Highlands’ oldest Pinot Noir and Chardonnay vines. The McIntyre Estate Vineyard was among the first properties in the Santa Lucia Highlands to be Sustainability in Practice Certified. The McIntyre Vineyards Tasting Studio is open in the Carmel Crossroads shopping center Tuesday to Saturday 11 am - 7 pm and Sunday 11 am - 6 pm. Monday by appointment only.",Wineries,,Y,N,,9,19,9,19,9,19,8,20,8,20,8,20,8,20,Y,
WIN18,Holman Ranch Vineyards & Winery,19 E Carmel Valley Rd,Carmel Valley,CA,93924,(831) 659-2640,www.holmanranch.com,"Located at the northeastern tip of the Carmel Valley Appellation, the family-owned Holman Ranch resides approximately 12 miles inland from the Pacific Coast. The 100% estate-grown wine varietals are planted on approximately 21 acres of undulating terrain. The climate and terroir of the appellation has played a critical part in the success of their wines. Their tasting room offers a choice of full-bodied Pinot Noirs; light and fruity Pinot Gris; lightly oaked Chardonnay; subtle and crisp Sauvignon Blanc, and their light, crisp, dry Rosé of Pinot Noir. Also available for tasting and purchase is their hand-harvested, cold pressed and bottled, extra virgin olive oil which is produced from the fruits of their 100 Tuscan varietal olive trees.",Wineries,,Y,N,Y,11,17,11,17,11,17,11,17,11,17,11,17,11,17,Y,
