Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category / Type,Event 1,Event 2,Event 3,Event 4,Event 5,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Standard hours,Hours,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Open,Sunday Open,Sunday Close,Parking,Restroom,Change table,Stroller friendly,Snugabug Picks,Source
Waterworld California,1950 Waterworld Pkwy,Concord,CA,94520,(925) 609-1364,www.waterworldcalifornia.com,"Large water park, great for the summer if you live near Concord. There are pools, slides and 8 different rides. Most rides require a height limit of 48 inches. Two separate waterplay playgrounds for the under 48 inches crowd. Consider a seaonal pass to get more value. ",Y,Amusement Park,,,,,,3 and up,Water sprayground,Water playground,Water slide,pool,Yes,"M 10:30-17:00, T 10:30-17:00, W 10:30-17:00 T 10:30-17:00, F 10:30-17:00, S 10:30-18.00, S 10:30-18.00",10:30,17,10:30,17,10:30,17,10:30,17,10:30,17,10:30,18,10:30,18,Y,Y,,Y,,SF Kids
Six Flags Discovery Kindgom,1001 Fairgrounds Dr,Vallejo,CA,94589,(707) 644-4000,https://www.sixflags.com/discoverykingdom,Enjoy a fun day with the family at this 135 acres theme park. The park has diverse rides from pulse-pounding roller coasters to gentler options for tots. Their animal program offers unique opportunities to meet animals truly up-close and personal. In addition to the most thrilling rides you'll find a wide variety of top-shelf entertainment and fresh prepared to order and ready to thrill your taste buds. ,Y,Amusement Park,,,,,,2 and up,Dolphin,Giraffe,Picnic,Seal,,,10:30,20,10:30,20,10:30,20,10:30,20,10:30,20,10:30,21,10:30,20,Y,Y,,Y,Y,SF Kids
Santa Cruz Beach Boardwalk,400 Beach St,Santa Cruz,CA,95060,(831) 423-5590,www.beachboardwalk.com,The Boardwalk combines the attraction of the California beach with the thrills of an amusement park. It  offers kiddie and family rids as well as many attractions such as a mini golf and a boardwalk bowl.,Y,Amusement Park,,,,,,3 and up,Movie,Concert,Roller coaster,Indoor Arcade,,,11,17,11,17,11,17,11,17,11,19,10,20,10,20,Y,Y,,Y,Y,SF Kids
California's Great America,4701 Great America Pkwy,Santa Clara,CA,95054,(408) 988-1776,https://www.cagreatamerica.com/,Great America provides a great choice for family fun and adventure! There is something for everyone. From the many rides and attractions to a water park or even a planet snoopy for the young at heart.  Don’t miss the live entertainment and the daily special events. Be minded for the long lines on the popular rides.,Y,Amusement Park,,,,,,3 and up,Water Park,Picnic,,,,,10,22,10,22,10,22,10,22,10,22,10,22,10,22,Y,Y,,Y,Y,SF Kids
Children's Fairyland,699 Bellevue Ave,Oakland,CA,94610,(510) 452-2259,fairyland.org,"With close to 40 storybook sets, kid-size rides, 15 domestic friendly animals, and 10 acres of gardens, the park is especially designed for kids under age eight.",Y,Amusement Park,,,,,,1 and up,rides,animals,arts & crafts,,,,10,16,10,16,10,16,10,16,10,16,10,17,10,17,Y,Y,,Y,,SF Kids
Musee Mechanique,Pier 45 Shed A,San Francisco,CA,94133,(415) 346-2000,www.museemecaniquesf.com,"The Musée Mécanique is an interesting place if you enjoy seeing the games through the years. It contains over 300 mechanical machines all operating, and is one of the largest privately owned collections of such games in the world.",N,Arcade,,,,,,3 and up,,,,,,,10,19,10,19,10,19,10,19,10,19,10,20,10,20,Y,Y,,,,
Pixieland Amusement park,2740 E Olivera Rd,Concord,CA,94519,(925) 676-9612,www.pixieland.com/,"The place is small and contains only 7 rides, but it's perfect for little kids, and you don't need to walk far to go to other rides. It's cheap as there is no entrance fee, you buy the tickets ride and you don't need to pay park.",N,Amusement Park,,,,,,1 and up,birthday,,,,,,,,,,,,,,11,15,10:30,16:30,11,16:30,Y,Y,,Y,,
Small world park,2551 Harbor St,Pittsburg,CA,94565,(925) 439-4879,www.smallworldamusementpark.com,"At Small World Amusement Park you will find activities for the whole family. From the small pond with catch and release crawdad fishing with a boat that has been converted to a play structure to the many rides including  a train ride, steam boat play, a carousel, a fort, a balloon ride, a Humphrey the Whale ride, playgrounds, an insect barn, as well as a butterfly terrarium.",Y,Amusement Park,,,,,,1 and up,train ride,carousel,picnic,,,,,,,,11,17,11,17,11,17,11,17,11,17,Y,Y,,Y,,
Gilroy Gardens Family Theme Park,3050 Hecker Pass Hwy,Gilroy,CA,95020,(408) 840-7100,https://www.gilroygardens.org,"This park offers over 40 rides and exhibitions in a beautiful garden setting. Many unique fruit and vegetable themed rides for small and bigger kids plus a roller coaster, railroads, and boat ride. Exhibits include a collection of world famous Circus Trees, a rock maze, and the Learning Sheds as well as a six majestic gardens
throughout the park. For the young at heart don’t miss the Oak Park playground.",Y,Amusement Park,,,,,,1 and up,Bonfante,,,,,,11,17,11,17,11,17,11,17,11,17,10,18,10,18,Y,Y,,Y,,
Golden Gate Park Carousel,198 John F Kennedy Dr,San Francisco,CA,94101,415 831 5500,http://www.golden-gate-park.com/golden-gate-park-carousel.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
