Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category / Type,Parking,Restroom,Change table,Stroller trail,Playground,Enclosed playground,"Material of playground floor (rubber, grass, dirt, sand, concrete, wood chip/mulch, asphalt) ",Water play,Sand pit,Toddler Playground,Pre-schooler Playground (2-5) ,School aged Playground (5-12),Picnic table,BBQ,Snugabug Pick,Photos
Fort Funston National Park,Skyline Blvd,San Francisco,CA,94132,,,,,,,,,,,,,,,,,,,,,
Amador Valley Park,4301 Black Ave,Pleasanton,CA,94566,925 931 5361,http://ptownlife.org/play/parks/amador-valley-community-park,,,,Y,Y,,,Y,N,Wood chip/mulch,N,Y,N,Y,N,N,N,,Y
Aptos Village Park,100 Aptos Creek Road,Aptos,CA,95003,831 454 7900,,,,,,,,,,,,,,,,,,,,
24th Street Mini Park,24th St & York St,San Francisco,CA,94110,(415) 717-2872,http://www.sfparksalliance.org/our-parks/parks/24th-and-york-mini-park,"This recently-renovated mini park has great public art and murals on display! There is a children's playground with picnic tables and seating. The park provides two swings and a merry-go-round for children to enjoy. Also, kids can enjoy playing on the mosaic serpent, which shoots water from his tail! There are also many benches and picnic tables to rest, eat lunch, and watch your kids play.",N,Playground,N,N,N,N,Y,Y,Rubber,N,N,,,,,,,Y
San Ramon Athan Downs Park,680 Montevideo Rd,San Ramon,CA,94583,925 973 2817,,,,,Y,Y,,Y,Y,N,rubber,N,Y,Y,Y,Y,Y,Y,Y,
303 Second Street Plaza,303 2nd St,San Francisco,CA,94105,,,,,,,,,,,,,,,,,,,,,
Alamo Square Park,Steiner St & Hayes St,San Francisco,CA,94115,,http://www.sfparksalliance.org/our-parks/parks/alamo-square,"A hilltop park with views of the City (including the famous ""Postcard Row""), Alamo Square features many things to do. There is a full tennis court, plenty of walking trails and benches, flower beds, and a dual-level kids' lot that had six swings, three slides and a pair of climbing structures. The upper level is for older kids (age 5-12), while the lower level is for the younger ones (age 2-5). Wheelchair access is available at the gate leading into the upper level.",,,N,Y,,Y,Y,N,"Rubber, sand",N,Y,N,Y,Y,N,N,,Y
Blossom Hill Park,16300 Blossom Hill Rd,Los Gatos,CA,95032,408 399 5770,http://www.losgatosca.gov/901/Blossom-Hill-Park,"Blossom Hill Park is located between Shannon Road and Blossom Hill Road east of Blossom Hill School.
 
A fully developed neighborhood park with six lighted tennis courts, a baseball field, playground area and picnic tables, B-B-Q pits, restroom facilities and large lawn areas.",,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,Y
Always Dream Play Park,Stevenson Blvd & Gallaudet,Fremont,CA,94536,,,,,,,,,,,,,,,,,,,,,
Alta Loma Field,,South San Francisco,CA,94080,,,,,,,,,,,,,,,,,,,,,
Alta Plaza Park,Pierce St and Clay St,San Francisco,CA,94115,,http://www.sfparksalliance.org/our-parks/parks/alta-plaza-park,"Alta Plaza Park features a playground and a large lawn area, two full tennis courts plus a multipurpose basketball/tennis court. There are plenty of paved walking trails, benches, and views of the City. There is a kids' lot that contains three different play structures, a sand lot, benches, slides and seven swings.",,,N,Y,,Y,Y,Y,Rubber,N,Y,Y,Y,Y,N,N,Y,Y
Ardenwood Historic Farm Regional Preserve,34600 Ardenwood Blvd,Fremont,CA,94555,888 327 2757,,,,,,,,,,,,,,,,,,,,
Albert Augustine Jr Memorial Park,Coelho St. & Roger St.,Milpitas,CA,95035,408 586 3210,,,,,N,Y,,,Y,,,,,,,,Y,Y,,
Danville South Park,90 Serene Ct,Danville,CA,94526,,http://www.danville.ca.gov/Things-To-Do/Parks/Community-Parks/Danville-South/,"This popular park can be hard to find. Danville South is a small park with a lawn area, play structures, swings and a small sand area. Large trees surrounding the area leave it nicely shaded in the mornings. Its fully fenced exterior isolates it, preventing toddlers from wandering off. There are benches and a table for snacks or lunch in the park. Bathrooms at this park are portable. ",,,,,,,,,,,,,,,,,,Y
Brommer Park,1451-1453 30th Ave,Santa Cruz,CA,95062,,,,,,Y,Y,,N,Y,N,rubber,N,N,Y,Y,N,Y,,,
Fall Creek - Henry Cowell Redwoods State Park,1400 Felton Empire Rd,Felton,CA,95018,831 335 4598,,,,,,,,,,,,,,,,,,,,
Avalon Park,Dorado Way and Alta Vista Dr,South San Francisco,CA,94080,650 829 3800,,,,,,,,,,,,,,,,,,,,
Balboa Park,San Jose Ave & Ocean Ave,San Francisco,CA,94112,,http://www.sfparksalliance.org/our-parks/parks/balboa-park-and-pool,"This large park, home to the Balboa pool, includes a sand playground with climbing structures, four baseball fields, a soccer stadium, tennis courts, and a picnic area.",,,,,,,,,,,,,,,,,,Y
Bernal Heights Community Garden,559 Bernal Heights Blvd,San Francisco,CA,94110,,,,,,,,,,,,,,,,,,,,,
Grundy Park,567 El Camino Real,San Bruno,CA,94066,,,,,,N,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,Y
Cardoza Park,Kennedy Dr & Prada Dr.,Milpitas,CA,95035,,,,,,Y,Y,,,Y,N,rubber,N,N,Y,Y,Y,Y,Y,,
Cannery Park,B St. & Martin Luther King Way,Hayward,CA,94541,510 881 6747,,,,,N,Y,,,Y,N,rubber,Y,Y,N,Y,Y,N,N,,
Al Caffodio Park,Shawnee Rd. & Chippewa Way,Livermore,CA,94551,,,,,,N,N,,Y,Y,N,mulch,N,N,Y,Y,N,Y,Y,,
Indian Valley Open Space Preserve,1800 Ignacio Blvd,Novato,CA,,415 499 6405,,,,,,,,,,,,,,,,,,,,
Campbell Park,Gilman & Campbell Ave,Campbell,CA,95008,,,,,,Y,Y,,,Y,Y,mulch,Y,N,Y,Y,Y,Y,N,,Y
King Estates Open Space Park,Sterling Dr & Crest Ave,Oakland,CA,,,,,,,,,,,,,,,,,,,,,,
Knowland State Arboretum And Park,Cameron Ave,Oakland,CA,94605,510 288 1134,,,,,,,,,,,,,,,,,,,,
Kottinger Village Park,4100 Vineyard Ave,Pleasanton,CA,94566,,http://ptownlife.org/play/parks/kottinger-village-park,,,,Y,N,,Y,Y,N,mulch,N,N,N,N,Y,Y,N,,Y
Bernal Heights Park,500 Cortland Ave,San Francisco,CA,94107,,http://www.sfparksalliance.org/our-parks/parks/bernal-heights-rec-center-and-playground,"Located just behind the Bernal Heights Branch Library. A very welcoming playground, Bernal Heights is designed around a few trees that shelter small clusters of benches and picnic tables. The play equipment is in fairly good shape and quite inviting.",,,N,,,,,,,,,,,,,,,Y
Booster Park,Gable Dr & Hoyt St,Fremont,CA,94539,,,,,,N,N,,,Y,N,sand,N,Y,Y,Y,N,Y,Y,,
Frederick Street Park,168 Frederick St,Santa Cruz,CA,95067,831 420 5270,http://www.cityofsantacruz.com/departments/parks-recreation/parks-beaches-and-open-spaces/neighborhood-parks/frederick-street-park,,,,N,Y,,N,Y,N,"rubber, sand",N,Y,Y,Y,Y,Y,N,,Y
Moller Park,5500 Pleasant Hill Rd,Pleasanton,CA,94588,,http://ptownlife.org/play/parks/moller-park,,,,N,N,,Y,Y,N,mulch,N,N,N,Y,Y,Y,N,,Y
Moss Beach Park,Virginia Ave Etheldore St,Moss Beach,CA,94038,,https://parks.smcgov.org/moss-beach-park,"The playground at Moss Beach Park features a pirate boat, a miniature lighthouse, dolphin slides, swings and a tot area. Midcoast residents came together in 2004 and turned what had been a ramshackle collection of donated toys and play structures into a lovingly conceived and imaginative play area for kids of all ages. Consultation was provided by local play experts, i.e. the kids.",,,N,N,,,Y,Y,mulch,N,Y,Y,Y,Y,Y,N,Y,Y
Canyonview Park,Daisy Ct. & Farm Hill Dr.,Hayward,CA,94542,,,,,,N,N,,,Y,N,mulch,N,N,N,N,Y,N,N,,
Creighton Park,Big Bear Ct.,Milpitas,CA,95035,,,,,,Y,N,,,Y,,,,,,,,Y,Y,,
Harvey West Park,326 Evergreen St,Santa Cruz,CA,95067,,http://www.cityofsantacruz.com/departments/parks-recreation/parks-beaches-and-open-spaces/community-parks/harvey-west-park,,,,Y,Y,,N,Y,N,"rubber, sand",N,Y,Y,Y,Y,Y,Y,,Y
Oak Hill Park,1 Parkside Ter,Petaluma,CA,94952,,,,,,,,,,,,,,,,,,,,,
Brooks Park,400 Shields St,San Francisco,CA,94132,,http://www.sfparksalliance.org/our-parks/parks/brooks-park,"A neighborhood park with a play structure and sand pit, community garden, park benches and BBQ pits. A little further up the path at the end, behind some trees, you'll find a great stone bench that has a great view of the area.",,,,,,,,,,,,,,,,,,Y
McCrea Memorial Park,4469 Carson St,Oakland,CA,,,,,,,,,,,,,,,,,,,,,,
Petaluma Adobe State Historic Park,3325 Adobe Rd,Petaluma,CA,94954,707 762 4871,,,,,,,,,,,,,,,,,,,,
Quarry Park,Santa Maria Ave,Half Moon Bay,CA,94018,,,,,,,,,,,,,,,,,,,,,
Bol Park,3590 Laguna Ave,Palo Alto,CA,94306,,,,,,N,,,Y,Y,N,mulch,N,Y,Y,Y,Y,Y,N,,
Scenic Grizzly Peak Vista,Marlborough Terrace and Grizzly Peak,Oakland,CA,94611,,,,,,,,,,,,,,,,,,,,,
Cayuga Playground,301 Naglee Ave,San Francisco,CA,94112,,http://www.sfparksalliance.org/our-parks/parks/cayuga-playground,"The playground features a baseball diamond, tennis and basketball courts, a sand playground, blacktop with four game squares, and a recreation center.",,,,,,,,,,,,,,,,,,Y
Chain of Lakes Meadow,John F Kennedy Dr & Chain of Lakes Dr E,San Francisco,CA,94199,,,,,,,,,,,,,,,,,,,,,
Baylands Park,999 E Caribbean Dr,Sunnyvale,CA,94088,408 730 7751,http://sunnyvale.ca.gov/Departments/CommunityServices/Parks/BaylandsPark.aspx,"Located on the beautiful San Francisco Bay, Baylands Park provides over seventy acres of developed parkland offering active recreation, pathways and picnic areas for families and large groups. Baylands Park has a Naturalist theme which is enhanced by the many acres of native grasses, open meadows and wonderful vistas. An additional 105 acres of seasonal wetlands is protected as a Wetlands Preserve providing habitat for plants and wildlife. Baylands Park is a successful joint venture between Santa Clara County which owns the property and the City of Sunnyvale which manages and maintains the Park.
The Discovery Play Area will catch your child's imagination. This creative playground is wheelchair-accessible. Play features include climbing structures, see-saw snake, spring toys, sand terraces and talk tubes. Young explorers can find fossil imprints in the archeological dig and follow dinosaur tracks.  Three smaller play areas feature swings, a climbing net and a play town.",Y,,,,,,,,,,,,,,,,,Y
Franco Park,10981 Franco Ct,Cupertino,CA,95014,408 777 3120,,,,,N,N,,,Y,N,rubber,N,N,N,N,Y,Y,N,,
