Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category / Type,Event 1,Event 2,Event 3,Event 4,Event 5,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Open,Sunday Open,Sunday Close,Snugabug Pick
CoastWays Ranch U-Pick,640 Cabrillo Hwy,Pescadero,CA,94060,(650) 879-0414,www.swantonberryfarm.com,"Swanton Berry Farm was founded in 1983 by two dreamers who had previously worked on farmworker-owned cooperatives here in Central California. Jim Cochran and Mark Matze both got the farming bug and couldn’t resist trying it on their own. They rented 4 acres of land, bought an old tractor, and planted four acres of strawberries. At that time no one had grown strawberries organically on a commercially successful basis, and everyone in the industry said it couldn’t be done. Two earlier dreamers, Cesar Chavez and Rachel Carson had spawned a dream.
Stop by for some fresh berry pies, delicious hot soup, strawberry lemonade, strawberry apple cider & more! Enjoy these treats in our sheltered stand over a boardgame or a good read.
Our Organic Strawberry U-pick is now OPEN! Come on down and pick some delicious organic strawberries for $4.00/lb. We provide boxes and baskets but recommend bringing layers as it can be quite windy out here on the coast.",,Fruit Picking,,,,,,,Swanton Berry Farm,,,,,,,,,,,,,,,,,,
Farm Stand & U-Pick,25 Swanton Rd,Davenport,CA,95017,(650) 879-0414,www.swantonberryfarm.com,"Swanton Berry Farm was founded in 1983 by two dreamers who had previously worked on farmworker-owned cooperatives here in Central California. Jim Cochran and Mark Matze both got the farming bug and couldn’t resist trying it on their own. They rented 4 acres of land, bought an old tractor, and planted four acres of strawberries. At that time no one had grown strawberries organically on a commercially successful basis, and everyone in the industry said it couldn’t be done. Two earlier dreamers, Cesar Chavez and Rachel Carson had spawned a dream.
Stop by for some fresh berry pies, delicious hot soup, strawberry lemonade, strawberry apple cider & more! Enjoy these treats in our sheltered stand over a boardgame or a good read.
Our Organic Strawberry U-pick is now OPEN! Come on down and pick some delicious organic strawberries for $4.00/lb. We provide boxes and baskets but recommend bringing layers as it can be quite windy out here on the coast.",,Fruit Picking,,,,,,,Swanton Berry Farm,Farm Stand,Jams,,8,18,8,18,8,18,8,18,8,18,8,18,8,18,
Gizdich Ranch,55 Peckham Rd,Watsonville,CA,95076,(831) 722-1056,www.gizdich-ranch.com,"Spend a day with your family at our family ranch and breathe in the fresh air and countryside atmosphere. Pick your favorite fruit of the season right off the tree or vine; then, picnic among the apple trees and the hills. Take home a jar (or two) of fresh berry jams, a jug of award winnig apple juice, and eat the best pies this side of the Rockies!",,Fruit Picking,,,,,,,Berries,Apples,Apple Pie,Jams,9,17,9,17,9,17,9,17,9,17,9,17,9,17,
Bacchini's Fruit Tree,2010 Walnut Blvd,Brentwood,CA,94513,(925) 634-3645,www.brentwoodfruit.com,"Bacchini's Fruit Tree is a family operated Picked and U-Pick fruit stand.   We are located in  beautiful Brentwood, California. Just 60 miles east of San Francisco. Growing premium quality fruits since 1945. Each year we are open during May & June to offer our fresh fruit, grown in our orchard, for you to pick!",,Fruit Picking,,,,,,,,,,,8,17,8,17,8,17,8,17,8,17,8,17,8,17,
Peter Wolfe Ranch,700 Creek Rd,Brentwood,CA,94513,(925) 634-1308,www.peterwolfe.com,"This farm produces some of the finest fresh California fruit from the Brentwood District, known for its rich alluvial soils and Mediterranean type climate ... perfect for the production of  deciduous fruits. Established in 1936 by Lynn & Ruth Wolfe, this farm is now run by Peter, Jane, Cathy, and Ann Wolfe. We are located in Eastern Contra Costa County, about a 40 minute drive from the East Bay.",,Fruit Picking,,,,,,,,,,,,,,,,,,,,,,,,,
Canciamilla Ranch,401 Eureka Avenue,Brentwood,CA,94513,925-634-5123,http://canciamillaranch.com/,"The Canciamilla Ranch was established in 1982 by Leonard & Thelma Canciamilla. The Canciamilla Ranch is one of the smallest you-pick fruit orchards in Brentwood, but has become a popular stop for many customers.
Open Daily May thru July.",,Fruit Picking,,,,,,,,,,,9,18,9,18,9,18,9,18,9,18,9,18,9,18,
DC's Extraordinary Cherries,Marsh Creek Road,Brentwood,CA,94513,(925) 516-4495,,,,Fruit Picking,,,,,,,Cherry,,,,,,,,,,,,,,,,,,
The Farmer's Daughter Produce,Walnut Blvd,Brentwood,CA,94513,(925) 634-4827,farmersdaughter.farmvisit.com,"The Farmer's Daughter Produce is a Produce Stand with a Pesticide Free U-Pick orchard. We Open in Late May with ""MAY ROSE"" White Peaches. Early June ""ROYAL BLENHEIM"" Apricots. In Mid June ""RED TOP"" next ""ELEGANT LADY"" then ""O'HENRY"" Freestone Peaches also Clingstone Peaches, White Nectarines, Plums, Apples, and Yellow Nectarines. 
Fresh Picked at the Prduce Stand is wide variety of local fruits and vegetables, including ""BRENTWOOD's SWEET WHITE CORN, Vine Ripe Tomatoes, Fresh Beans, Cherries, Berries, Melons, Pears, FRESH BAKED FRUIT PIES, Local Honey, Dried Fruits and Nut & Olive Oil plus more. For our customers we have 2 large shady picnic areas. 
We also provide Farm U-Pick Tours and Kids Farm Education Programs and Farm Picnic for large groups on the weekdays. We ask please phone 2 weeks in advance to make reservations.",,Store,,,,,,,,,,,,,,,,,,,,,,,,,
Gursky Ranch Country Store,1921 Apricot Way,Brentwood,CA,94513,(925) 634-4913,gurskyranch.com,"We are located at 1921 Apricot Way in Brentwood, California, sixty miles east of San Francisco. Although we are now only 3.0 acres and in the middle of a residential neighborhood, we are proud to still be part of the rich agricultural heritage of the Brentwood area and an active member of the ""Harvest Time in Brentwood"" farm trail for thirty years. Our store is open every day but Monday, from 10 am to 5 pm, pacific time, offering U-Pick walnuts ( LATE October) , dried fruits and nuts, specialty soups, sauces and over 390 other gourmet food items.",,Store,,,,,,,,,,,,,10,17,10,17,10,17,10,17,10,17,10,17,
Pease Ranch ,25081 Marsh Creek Rd,Brentwood,CA,94513,(925) 634-4646,www.peaseranch.com,"Welcome to the Pease Ranch.  We have been family owned and operated since 1983.   Come and check out our large selection of cherries and berries. We are exclusively a YOU-PICK Ranch. All of our trees have been pruned and kept low to the ground for convenient picking even for the little ones. Our ranch has been created to allow a memorable and pleasurable outing for you and your family.
At Pease Ranch you can find Bing, White Rainier, Chinook, Early Burlats, Coral Champagnes, and vans just to name a few of our cherries. If berries are what you are after, you can U-pick Boysenberries, Olallieberries, Blackberries, and Loganberries.    
We offer a small picnic area (NO BBQ's) for our customers only. This area fills up quickly and is on a first come first serve basis. We ask that you please pick up your trash and dispose of it in the garbage cans provided for your use!",,Fruit Picking,,,,,,,,,,,,,,,,,,,,,,,,,
