Name,Address,City,State,Zip,Phone,URL,Description,Type,Picnic,Family Friendly,Requires Reservations,Tasting Fee,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Open,Sunday Open,Sunday Close,Snugabug Pick
St. Clement Vineyards,2867 St. Helena Hwy North,St. Helena,CA,94574,(707) 265-5000,www.stclement.com/,"Discover the charm of St. Clement with its elegantly structured wines, breathtaking view of the Napa Valley, and its colorful history. Situated on a sloping hillside, the Victorian house at the center of the winery was...",Wineries,Y,Y,Y,Y,11,17,11,17,11,17,11,17,11,17,11,17,11,17,
Franciscan Estate,1178 Galleron Road,St. Helena,CA,94574,(707) 967-3993,www.franciscan.com/,Experience the beautiful Franciscan Estate Winery in St. Helena in Napa Valley. Enjoy tasting at the Napa valley winery's visitor center where current releases of classic and reserve Franciscan wines are available....,Wineries,Y,N,N,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,
Cairdean Estate,3111 St. Helena Hwy N,St. Helena,CA,94574,(707) 968-5434,www.cairdeanestate.com/,"Cairdean Estate, Napa Valley's Wine & Food Village, encourages guests to relax in our elegant public tasting room, open daily from 11am to 8pm. No appointment is necessary to taste through a vast selection of...",Wineries,Y,N,Y,Y,11,20,11,20,11,20,11,20,11,20,11,20,11,20,
Rutherford Hill Winery,200 Rutherford Hill Road,Rutherford,CA,94573,(707) 963-1871,www.rutherfordhill.com/,"The fruit in Rutherford Hill's vineyards enjoys a natural balance of cool mornings and evenings tempered by warm sunny days. With a commitment to sustainable farming practices, the Rutherford Hill winery farms a 60...",Wineries,Y,N,Y,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,
Louis Martini Winery,254 S. St. Helena Hwy,St. Helena,CA,94574,(707) 968-3361,www.louismartini.com/,"Louis M. Martini founded his winery in 1933 and innovations in grape growing and winemaking have been its trademark ever since. Today, with third-generation winemaker Michael Martini at the helm, they specialize in...",Wineries,Y,N,Y,Y,10,18,10,18,10,18,10,18,10,18,10,18,10,18,
V. Sattui Winery,1111 White Lane,St. Helena,CA,94574,(707) 963-7774,https://www.vsattui.com/,"V. Sattui Winery offers a unique opportunity with beautiful picnic grounds, tasting rooms and a marketplace with cheese shop, deli and gift store. In the Marketplace alone nearly two hundred cheeses are offered,...",Wineries,Y,Y,N,Y,9,17,9,17,9,17,9,17,9,17,9,17:30,9,17,Y
William Hill Estate,1761 Atlas Peak Road,Napa,CA,94558,(707) 265-3024,www.williamhillestate.com,William Hill Estate Winery carries forward a 30-year philosophy of crafting elegant Napa Valley wines. 140-acres of Estate-owned vineyards surround the contemporary winemaking facility and the beautiful shaded arbor...,Wineries,Y,Y,Y,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,
Monticello Vineyards,4242 Big Ranch Road,Napa,CA,94558,(707) 253-2802,www.corleyfamilynapavalley.com,"Since 1969 - Small Winery, Big Reputation. Located in the heart of the valley floor between Napa and Yountville on Big Ranch Rd just off of Oak Knoll Avenue between Silverado Trail and HWY 29, guests are invited to...",Wineries,Y,Y,N,Y,10,16:30,10,16:30,10,16:30,10,16:30,10,16:30,10,16:30,10,16:30,
Charles Krug Winery,2800 Main Stree,St. Helena,CA,94574,(707) 967-2200,https://www.charleskrug.com,"Now in its third century, Charles Krug Winery is the quintessential example of a multigenerational winery that fuses tradition and innovation to craft wines of high acclaim. It is the oldest winery in the Napa Valley...",Wineries,Y,Y,Y,Y,10:30,17,10:30,17,10:30,17,10:30,17,10:30,17,10:30,17,10:30,17,
Pine Ridge Vineyards,5901 Silverado Trail,Napa,CA,94558,(707) 253-7500,www.pineridgevineyards.com,Pine Ridge Vineyards produces wines that showcase 200 acres of estate vineyards across five renowned appellations in the Napa Valley. Relax on our terrace overlooking a spectacular panoramic view of the Stags Leap...,Wineries,Y,Y,Y,Y,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,
Rutherford Ranch Winery,1680 Silverado Trail South,St. Helena,CA,94574,(707) 968-3200,www.rutherfordwine.com/rutherford-ranch-winery,"""Napa Valley Winery of the Year"" - New York International Wine Competition 2013 We are family-owned and managed and for three generations our family has been committed to earth-friendly winegrowing. ...",Wineries,Y,Y,Y,Y,10,16:30,10,16:30,10,16:30,10,16:30,10,16:30,10,16:30,10,16:30,
